CPR_MARKETINGCARRIER,CPR_OTHERCARRIER,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_BOARDPOINT,CPR_OFFPOINT,CPR_INBOUNDSERVICE,CPR_DEPARTDATE1,CPR_DEPARTDATE2,CPR_DEPARTTIME1,CPR_DEPARTTIME2,CPR_ARRIVALDATE1,CPR_ARRIVALDATE2,ID_PRODUCTLEVEL,ID_CUSTOMERLEVEL,CPR_TRANSPORTQUAL,CPR_AIRLINEDESIG,CPR_FLIGHTNO,CPR_FLIGHTSUFFIX,CPR_CODESHARETYPE,CPR_OTHERCOMPANY,CPR_COMPANYID,CPR_ORIGIN,CPR_DESTINATION,CPR_FAREFAMILY,CPR_NUMBER,CPR_WEIGHT,CPR_UNITQUAL,CPR_COMPSTATUS,CPR_FARE_INDICATOR,CPR_FARE_ACTION,CPR_FARE_QUALIFIER,CPR_FARE_AMOUNT,CPR_FARE_CURRENCY,CPR_SPL_NUMBER,CPR_PRV_CPNNUMBER,CPR_COUPON_COMPANY,CPR_DATALENGTH,CPR_DATATYPE,CPR_BINARYDATA,DWH_SNAPSHOTTIMESTAMP,CPR_ARRIVALTIME1,CPR_ARRIVALTIME2,CPR_DEPARTDATE,CPR_ARRIVALDATE
MH,,2660,,KUL,TWU,,,,,,,,155685243,54143183,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:08:01:27.100,,,2022-05-28,
MH,,2664,,KUL,TWU,,,,,,,,155685244,54143183,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:08:01:27.257,,,2022-05-28,
MH,,2660,,KUL,TWU,,,,,,,,155685245,54143184,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:27.507,,,2022-05-28,
MH,,2661,,TWU,KUL,,,,,,,,155685246,54143184,,,,,,MH,1A,,,,,40,,NAU,,,,,,,,,,,,29MAY2022:08:01:27.727,,,2022-06-16,
MH,,2660,,KUL,TWU,,,,,,,,155685247,54143185,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:27.930,,,2022-05-28,
MH,,2660,,KUL,TWU,,,,,,,,155685248,54143186,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:28.277,,,2022-05-28,
MH,,2661,,TWU,KUL,,,,,,,,155685249,54143187,,,,,,MH,1A,,,,,,,NAU,,,,,,2.32776E+12,1,MH,,,,29MAY2022:08:01:28.557,,,2022-05-22,
MH,,2665,,TWU,KUL,,,,,,,,155685250,54143187,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:28.713,,,2022-05-22,
MH,,2,,KUL,LHR,,,,,,,,155685251,54143187,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:28.883,,,2022-05-22,
MH,,3,,LHR,KUL,,,,,,,,155685252,54143187,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:29.027,,,2022-05-27,
