CPR_REFQUAL,CPR_PRIMEID,ID_PRODUPI,ID_PRODUCTLEVEL,DWH_SNAPSHOTTIMESTAMP
DID,300BF08F003FD39B,189936019,155684930,29MAY2022:07:55:53.327
DID,300BF08F003FD3A3,189936020,155684931,29MAY2022:07:55:53.373
DID,300BF08F003FD39C,189936021,155684932,29MAY2022:07:55:53.420
DID,300BF08F003FD3A4,189936022,155684933,29MAY2022:07:55:53.547
DID,300030910161FCE3,189936023,155684934,29MAY2022:07:55:53.607
DID,300C709800270484,189936024,155684935,29MAY2022:07:55:53.653
DID,300C709800270486,189936025,155684936,29MAY2022:07:55:53.687
DID,3003C037002828B7,189936026,155684937,29MAY2022:07:55:53.717
DID,3003C037002828BB,189936027,155684938,29MAY2022:07:55:53.763
DID,3003C037002828B8,189936028,155684939,29MAY2022:07:55:53.810
DID,3003C037002828BC,189936029,155684940,29MAY2022:07:55:53.857
DID,3003C037002828B9,189936030,155684941,29MAY2022:07:55:53.890
DID,3003C037002828BD,189936031,155684942,29MAY2022:07:55:53.937
DID,3003C037002828BA,189936032,155684943,29MAY2022:07:55:53.967
DID,3003C037002828BE,189936033,155684944,29MAY2022:07:55:54.047
DID,30027065001831A3,189936034,155684945,29MAY2022:07:55:54.107
DID,30027065001831A4,189936035,155684946,29MAY2022:07:55:54.153
DID,3004507A0057F25D,189936036,155684947,29MAY2022:07:55:54.233
DID,3004507A0057F406,189936037,155684948,29MAY2022:07:55:54.297
DID,3001D07C0162AD34,189936038,155684949,29MAY2022:07:55:54.357
DID,30088089002E70EB,189936039,155684950,29MAY2022:07:55:54.420
DID,3009C07B005F9221,189936040,155684951,29MAY2022:07:55:54.467
DID,300800860032C75C,189936041,155684952,29MAY2022:07:55:54.560
DID,300810860033837D,189936042,155684953,29MAY2022:07:55:54.687
DID,300BF08F003FD3A0,189936043,155684954,29MAY2022:07:55:54.823
DID,300BF08F003FD3A8,189936044,155684955,29MAY2022:07:55:54.980
DID,300030910161FCE4,189936045,155684956,29MAY2022:07:55:55.137
DID,3009C0920046D95D,189936046,155684957,29MAY2022:07:55:55.310
DID,3009D09400F60630,189936047,155684958,29MAY2022:07:55:55.497
DID,300F209401372D80,189936048,155684959,29MAY2022:07:55:55.683
DID,300F209401372D81,189936049,155684960,29MAY2022:07:55:55.857
DID,300F709500F5D99D,189936050,155684961,29MAY2022:07:55:55.997
DID,300E90980040D8A3,189936051,155684962,29MAY2022:07:55:56.183
DID,300F00980045EAB5,189936052,155684963,29MAY2022:07:55:56.307
DID,3005E098015D48F7,189936053,155684964,29MAY2022:07:55:56.433
DID,3005E098015D48F8,189936054,155684965,29MAY2022:07:55:56.540
DID,3005E098015D48F9,189936055,155684966,29MAY2022:07:55:56.650
DID,3004A0140025B35F,189936056,155684967,29MAY2022:07:55:56.777
DID,3004A0140025B363,189936057,155684968,29MAY2022:07:55:56.917
DID,0140D94000C0104E,189936058,155684969,29MAY2022:07:55:57.120
DID,0140D94000C0104D,189936059,155684970,29MAY2022:07:55:57.247
DID,3003305900FCD62F,189936060,155684971,29MAY2022:07:55:57.340
DID,0140D94000C00A38,189936061,155684972,29MAY2022:07:55:57.433
DID,3003305900FCD630,189936062,155684973,29MAY2022:07:55:57.557
DID,3007D071011ABB48,189936063,155684974,29MAY2022:07:55:57.700
DID,3007D071011ABB49,189936064,155684975,29MAY2022:07:55:57.823
DID,3007E07200A61CE6,189936065,155684976,29MAY2022:07:55:57.963
DID,300950880081B242,189936066,155684977,29MAY2022:07:55:58.133
DID,3007609100327FE2,189936067,155684978,29MAY2022:07:55:58.307
DID,300F6098004A0B2E,189936068,155684979,29MAY2022:07:55:58.480
DID,3005E095008150F4,189936069,155684980,29MAY2022:07:55:58.620
DID,300F20980046F6DC,189936070,155684981,29MAY2022:07:55:58.730
DID,300F209800474966,189936071,155684982,29MAY2022:07:55:58.810
DID,3005C095007FF872,189936072,155684983,29MAY2022:07:55:58.903
DID,3004A0140025B35C,189936073,155684984,29MAY2022:07:55:58.960
DID,3004A0140025B360,189936074,155684985,29MAY2022:07:55:59.087
DID,3004A0140025B35D,189936075,155684986,29MAY2022:07:55:59.193
DID,3004A0140025B361,189936076,155684987,29MAY2022:07:55:59.337
DID,3004A0140025B35E,189936077,155684988,29MAY2022:07:55:59.443
DID,3004A0140025B362,189936078,155684989,29MAY2022:07:55:59.617
DID,2002CFE60006B372,189936079,155684990,29MAY2022:07:55:59.773
JID,10BFC200006EE38C,189936080,155684990,29MAY2022:07:55:59.773
DID,300AE098025DA514,189936081,155684991,29MAY2022:07:55:59.897
JID,10BFC200006F0F47,189936082,155684991,29MAY2022:07:55:59.897
DID,0140D94000B80C91,189936083,155684992,29MAY2022:07:56:00.053
JID,10BFC200006EE38D,189936084,155684992,29MAY2022:07:56:00.053
DID,300A903400007819,189936085,155684993,29MAY2022:07:56:00.240
OID,300AB0340001DB42,189936086,155684993,29MAY2022:07:56:00.240
DID,300AB0340001DB42,189936087,155684994,29MAY2022:07:56:00.383
DID,3007608400C21C74,189936088,155684995,29MAY2022:07:56:00.553
DID,3007608400C21C75,189936089,155684996,29MAY2022:07:56:00.663
DID,3009E08F0026E383,189936090,155684997,29MAY2022:07:56:00.823
OID,3002708A003D1094,189936091,155684997,29MAY2022:07:56:00.823
UCI,2006208F0000ED32,189936092,155684997,29MAY2022:07:56:00.823
DID,3002708A003D1094,189936093,155684998,29MAY2022:07:56:00.943
UCI,2005808A00010DCF,189936094,155684998,29MAY2022:07:56:00.943
DID,3002008A00382479,189936095,155684999,29MAY2022:07:56:01.067
OID,300C00990008DC55,189936096,155684999,29MAY2022:07:56:01.067
UCI,2005808A00010DCF,189936097,155684999,29MAY2022:07:56:01.067
DID,300C00990008DC55,189936098,155685000,29MAY2022:07:56:01.193
UCI,2006208F0000ED32,189936099,155685000,29MAY2022:07:56:01.193
DID,3009E08F0026E384,189936100,155685001,29MAY2022:07:56:01.333
UCI,2006208F0000ED32,189936101,155685001,29MAY2022:07:56:01.333
DID,300DA09500DF8AFA,189936102,155685002,29MAY2022:07:56:01.460
DID,300D809500DE2007,189936103,155685003,29MAY2022:07:56:01.567
DID,10BFC200006F0E75,189936104,155685004,29MAY2022:07:56:01.677
DID,300B2098001712B9,189936105,155685005,29MAY2022:07:56:01.833
DID,20006FDA0002A578,189936106,155685006,29MAY2022:07:56:01.940
DID,20006FDA0002A57C,189936107,155685007,29MAY2022:07:56:02.050
DID,3002FFF00029D27B,189936108,155685008,29MAY2022:07:56:02.130
DID,3002EFF00029285B,189936109,155685009,29MAY2022:07:56:02.253
DID,20006FDA0002A579,189936110,155685010,29MAY2022:07:56:02.380
DID,20006FDA0002A57D,189936111,155685011,29MAY2022:07:56:02.457
DID,3002FFF00029D27C,189936112,155685012,29MAY2022:07:56:02.550
DID,3002EFF00029285C,189936113,155685013,29MAY2022:07:56:02.690
DID,20006FDA0002A57A,189936114,155685014,29MAY2022:07:56:02.800
DID,20006FDA0002A57E,189936115,155685015,29MAY2022:07:56:02.893
DID,3002FFF00029D27D,189936116,155685016,29MAY2022:07:56:02.970
DID,3002EFF00029285D,189936117,155685017,29MAY2022:07:56:03.097
DID,20006FDA0002A57B,189936118,155685018,29MAY2022:07:56:03.253
DID,20006FDA0002A57F,189936119,155685019,29MAY2022:07:56:03.347
DID,3002FFF00029D27E,189936120,155685020,29MAY2022:07:56:03.423
DID,3002EFF00029285E,189936121,155685021,29MAY2022:07:56:03.550
DID,10BFC200006EE571,189936122,155685022,29MAY2022:07:56:03.677
DID,3006F091002D3C5A,189936123,155685023,29MAY2022:07:56:03.753
DID,300BF08F003FD3A1,189936124,155685024,29MAY2022:07:56:03.880
DID,300BF08F003FD3A9,189936125,155685025,29MAY2022:07:56:04.053
DID,300C4091006E1544,189936126,155685026,29MAY2022:07:56:04.210
DID,300BD09100693887,189936127,155685027,29MAY2022:07:56:04.367
DID,3008F09400282F8E,189936128,155685028,29MAY2022:07:56:04.537
DID,3006B09400CFDB68,189936129,155685029,29MAY2022:07:56:04.710
DID,3006B09400CFDB69,189936130,155685030,29MAY2022:07:56:04.883
DID,3005704F0100A406,189936131,155685031,29MAY2022:07:56:05.067
DID,3005404F00FEBBF1,189936132,155685032,29MAY2022:07:56:05.207
DID,3005704F0100A407,189936133,155685033,29MAY2022:07:56:05.333
DID,3005404F00FEBBF2,189936134,155685034,29MAY2022:07:56:05.473
DID,3005F06C0001584F,189936135,155685035,29MAY2022:07:56:05.630
DID,3007508E005C553A,189936136,155685036,29MAY2022:07:56:05.770
DID,3005108E00413BDC,189936137,155685037,29MAY2022:07:56:05.910
DID,3005108E00413BDD,189936138,155685038,29MAY2022:07:56:06.020
DID,300CF09500145047,189936139,155685039,29MAY2022:07:56:06.113
DID,300C709800270483,189936140,155685040,29MAY2022:07:56:06.253
DID,300C709800270485,189936141,155685041,29MAY2022:07:56:06.363
DID,3002709501DDB353,189936142,155685042,29MAY2022:07:56:06.537
OID,3002709501DDB356,189936143,155685042,29MAY2022:07:56:06.537
DID,3002709501DDB356,189936144,155685043,29MAY2022:07:56:06.740
DID,3002709501DDB359,189936145,155685044,29MAY2022:07:56:06.893
DID,3002709501DDB35C,189936146,155685045,29MAY2022:07:56:07.000
DID,3002709501DDB354,189936147,155685046,29MAY2022:07:56:07.190
OID,3002709501DDB357,189936148,155685046,29MAY2022:07:56:07.190
DID,3002709501DDB357,189936149,155685047,29MAY2022:07:56:07.533
DID,3002709501DDB35A,189936150,155685048,29MAY2022:07:56:07.830
DID,3002709501DDB35D,189936151,155685049,29MAY2022:07:56:08.047
DID,3002709501DDB355,189936152,155685050,29MAY2022:07:56:08.330
OID,3002709501DDB358,189936153,155685050,29MAY2022:07:56:08.330
DID,3002709501DDB358,189936154,155685051,29MAY2022:07:56:08.500
DID,3002709501DDB35B,189936155,155685052,29MAY2022:07:56:08.687
DID,3002709501DDB35E,189936156,155685053,29MAY2022:07:56:08.797
DID,10BFC200006F1028,189936157,155685054,29MAY2022:07:56:08.953
DID,300700970256F9CE,189936158,155685055,29MAY2022:07:56:09.127
DID,10BFC200006F1029,189936159,155685056,29MAY2022:07:56:09.267
DID,300700970256F9CF,189936160,155685057,29MAY2022:07:56:09.390
DID,10BFC200006F102A,189936161,155685058,29MAY2022:07:56:09.547
DID,300700970256F9D0,189936162,155685059,29MAY2022:07:56:09.703
DID,300B8098001C1055,189936163,155685060,29MAY2022:07:56:09.843
DID,300B8098001C1057,189936164,155685061,29MAY2022:07:56:09.920
DID,300B8098001C1056,189936165,155685062,29MAY2022:07:56:10.047
DID,300B8098001C1058,189936166,155685063,29MAY2022:07:56:10.140
DID,3007A09400DB3E83,189936167,155685064,29MAY2022:07:56:10.263
DID,3007A09400DB3E85,189936168,155685065,29MAY2022:07:56:10.437
DID,300EB091008C1319,189936169,155685066,29MAY2022:07:56:10.610
DID,3003F09100CBBBD3,189936170,155685067,29MAY2022:07:56:10.717
DID,300EB091008C1322,189936171,155685068,29MAY2022:07:56:10.827
DID,300A809802590B8D,189936172,155685069,29MAY2022:07:56:10.950
DID,30027098006FFCF8,189936173,155685070,29MAY2022:07:56:11.077
DID,300950960060CA1D,189936174,155685071,29MAY2022:07:56:11.183
DID,3006E09401958963,189936175,155685072,29MAY2022:07:56:11.403
DID,3006E09401958965,189936176,155685073,29MAY2022:07:56:11.670
DID,3006E09401958964,189936177,155685074,29MAY2022:07:56:11.840
DID,3006E09401958966,189936178,155685075,29MAY2022:07:56:11.967
DID,30030095005DF66D,189936179,155685076,29MAY2022:07:56:12.153
DID,300D209500DA1B4C,189936180,155685077,29MAY2022:07:56:12.357
DID,300DA09500DFB2B8,189936181,155685078,29MAY2022:07:56:12.480
DID,30055096002FD271,189936182,155685079,29MAY2022:07:56:12.653
DID,30055096002FD272,189936183,155685080,29MAY2022:07:56:12.793
DID,300060900020CFBF,189936184,155685081,29MAY2022:07:56:12.923
DID,3005809700BF1408,189936185,155685082,29MAY2022:07:56:13.030
DID,3009708F0021389B,189936186,155685083,29MAY2022:07:56:13.280
DID,3007A09400DB3E82,189936187,155685084,29MAY2022:07:56:13.453
DID,3007A09400DB3E84,189936188,155685085,29MAY2022:07:56:13.610
DID,3005508E004430F7,189936189,155685086,29MAY2022:07:56:13.797
DID,30020095005215AE,189936190,155685087,29MAY2022:07:56:14.000
DID,30020095005215AF,189936191,155685088,29MAY2022:07:56:14.140
DID,300F109700706980,189936192,155685089,29MAY2022:07:56:14.310
DID,300F109700706981,189936193,155685090,29MAY2022:07:56:14.437
DID,300F109700706982,189936194,155685091,29MAY2022:07:56:14.560
DID,3006B0980166BD4B,189936195,155685092,29MAY2022:07:56:14.717
DID,3006B0980166BD4D,189936196,155685093,29MAY2022:07:56:14.843
DID,3006B0980166BD4C,189936197,155685094,29MAY2022:07:56:15.013
DID,3006B0980166BD4E,189936198,155685095,29MAY2022:07:56:15.140
DID,3002304F00159C46,189936199,155685096,29MAY2022:07:56:15.310
DID,3002304F00159C47,189936200,155685097,29MAY2022:07:56:15.437
DID,300A108300B5BE0B,189936201,155685098,29MAY2022:07:56:15.560
DID,300FD07B00AA2042,189936202,155685099,29MAY2022:07:56:15.653
DID,3005A08302063576,189936203,155685100,29MAY2022:07:56:15.750
DID,3009808300AF6467,189936204,155685101,29MAY2022:07:56:15.860
DID,3000707B00B12C3F,189936205,155685102,29MAY2022:07:56:15.987
DID,30096086028D8912,189936206,155685103,29MAY2022:07:56:16.127
DID,300B509000A6A424,189936207,155685104,29MAY2022:07:56:16.283
DID,10BFC200006F1041,189936208,155685105,29MAY2022:07:56:16.393
DID,10BFC200006EE569,189936209,155685106,29MAY2022:07:56:16.563
DID,10BFC200006EE56A,189936210,155685107,29MAY2022:07:56:16.673
DID,10BFC200006EE56B,189936211,155685108,29MAY2022:07:56:16.783
DID,10BFC200006EE56C,189936212,155685109,29MAY2022:07:56:16.893
DID,10BFC200006EE56D,189936213,155685110,29MAY2022:07:56:17.030
DID,10BFC200006EE56E,189936214,155685111,29MAY2022:07:56:17.093
DID,10BFC200006F0F6A,189936215,155685112,29MAY2022:07:56:17.123
DID,10BFC200006F0F6B,189936216,155685113,29MAY2022:07:56:17.157
DID,10BFC200006F103A,189936217,155685114,29MAY2022:07:56:17.220
DID,10BFC200006F103D,189936218,155685115,29MAY2022:07:56:17.250
DID,10BFC200006F103E,189936219,155685116,29MAY2022:07:56:17.297
DID,10BFC200006F1040,189936220,155685117,29MAY2022:07:56:17.327
DID,3006608E029B3737,189936221,155685118,29MAY2022:07:56:17.373
DID,300870970268967E,189936222,155685119,29MAY2022:07:56:17.407
DID,300F608700420A6B,189936223,155685120,29MAY2022:07:56:17.453
DID,3006E04D01F8CA12,189936224,155685121,29MAY2022:07:56:17.547
DID,3006904D01F52004,189936225,155685122,29MAY2022:07:56:17.577
DID,30096074005B7A13,189936226,155685123,29MAY2022:07:56:17.610
JID,10BFC200006EE569,189936227,155685123,29MAY2022:07:56:17.610
DID,30096074005B7A15,189936228,155685124,29MAY2022:07:56:17.657
JID,10BFC200006EE56A,189936229,155685124,29MAY2022:07:56:17.657
DID,30096074005B7A14,189936230,155685125,29MAY2022:07:56:17.687
DID,30096074005B7A16,189936231,155685126,29MAY2022:07:56:17.720
