CPR_OTHERSEVICETYPE,CPR_SEATNUMBER1,CPR_SEATCHAR1,CPR_SEATCHAR2,ID_LEGLEVEL_LEGROUTING,ID_PREFLIGHT_SEATINFO,CPR_SEATNUMBER2,DWH_SNAPSHOTTIMESTAMP
PRE,029C,,,156348272,166174688,,29MAY2022:07:22:05.270
PRE,029C,,,156348273,166174689,,29MAY2022:07:22:05.300
ASN,029C,,N,156348273,166174690,,29MAY2022:07:22:05.300
PRE,027C,,,156348274,166174691,,29MAY2022:07:22:05.330
PRE,027C,,,156348275,166174692,,29MAY2022:07:22:05.347
ASN,027C,,N,156348275,166174693,,29MAY2022:07:22:05.347
PRE,014A,,,156348278,166174694,,29MAY2022:07:22:05.410
ASN,014A,EX,N,156348278,166174695,,29MAY2022:07:22:05.410
PRE,014B,,,156348280,166174696,,29MAY2022:07:22:05.457
ASN,,EX,N,156348280,166174697,,29MAY2022:07:22:05.457
PRE,014B,,,156348281,166174698,,29MAY2022:07:22:05.470
ASN,014B,EX,N,156348281,166174699,,29MAY2022:07:22:05.470
PRE,022D,,,156348282,166174700,,29MAY2022:07:22:05.503
PRE,022D,,,156348283,166174701,,29MAY2022:07:22:05.533
ASN,022D,,N,156348283,166174702,,29MAY2022:07:22:05.533
ASN,028E,,N,156348285,166174703,,29MAY2022:07:22:05.580
ASN,025B,,N,156348288,166174704,,29MAY2022:07:22:06.080
ASN,011E,,N,156348290,166174705,,29MAY2022:07:22:06.143
ASN,010E,,N,156348293,166174706,,29MAY2022:07:22:06.220
ASN,032H,,N,156348294,166174707,,29MAY2022:07:22:06.237
ASN,022E,,N,156348299,166174708,,29MAY2022:07:22:06.360
PRE,033J,,,156348300,166174709,,29MAY2022:07:34:11.047
ASN,033J,,,156348300,166174710,,29MAY2022:07:34:11.047
PRE,033J,,,156348301,166174711,,29MAY2022:07:34:11.063
ASN,033J,,,156348301,166174712,,29MAY2022:07:34:11.063
PRE,018D,,,156348302,166174713,,29MAY2022:07:34:11.077
ASN,018D,,N,156348302,166174714,,29MAY2022:07:34:11.077
PRE,033J,,,156348306,166174715,,29MAY2022:07:34:11.140
ASN,033J,,,156348306,166174716,,29MAY2022:07:34:11.140
PRE,031J,,,156348307,166174717,,29MAY2022:07:34:11.157
ASN,031J,,,156348307,166174718,,29MAY2022:07:34:11.157
ASN,025G,,N,156348314,166174719,,29MAY2022:07:34:11.300
PRE,038H,,,156348315,166174720,,29MAY2022:07:34:11.317
ASN,038H,,N,156348315,166174721,,29MAY2022:07:34:11.317
PRE,,N,,156348316,166174722,,29MAY2022:07:34:11.347
ASN,018C,,N,156348316,166174723,,29MAY2022:07:34:11.347
PRE,018D,,,156348317,166174724,,29MAY2022:07:34:11.363
ASN,018D,,,156348317,166174725,,29MAY2022:07:34:11.363
PRE,018A,,,156348318,166174726,,29MAY2022:07:34:11.377
ASN,018A,,N,156348318,166174727,,29MAY2022:07:34:11.377
PRE,018E,,,156348319,166174728,,29MAY2022:07:34:11.393
ASN,018E,,,156348319,166174729,,29MAY2022:07:34:11.393
PRE,022C,,,156348320,166174730,,29MAY2022:07:34:11.423
ASN,022C,,N,156348320,166174731,,29MAY2022:07:34:11.423
PRE,,N,,156348321,166174732,,29MAY2022:07:34:11.440
ASN,021D,,N,156348321,166174733,,29MAY2022:07:34:11.440
PRE,008C,,,156348327,166174734,,29MAY2022:07:34:11.533
ASN,008C,,N,156348327,166174735,,29MAY2022:07:34:11.533
PRE,038F,,,156348328,166174736,,29MAY2022:07:34:11.550
ASN,038F,,N,156348328,166174737,,29MAY2022:07:34:11.550
PRE,030A,,,156348330,166174738,,29MAY2022:07:34:11.613
ASN,030A,,N,156348330,166174739,,29MAY2022:07:34:11.613
ASN,011D,,N,156348332,166174740,,29MAY2022:07:34:11.660
PRE,021C,,,156348338,166174741,,29MAY2022:07:34:11.753
ASN,021C,,N,156348338,166174742,,29MAY2022:07:34:11.753
PRE,016F,,,156348342,166174743,,29MAY2022:07:34:11.830
ASN,016F,,N,156348342,166174744,,29MAY2022:07:34:11.830
ASN,010C,,N,156348343,166174745,,29MAY2022:07:34:11.847
PRE,007F,,,156348344,166174746,,29MAY2022:07:34:11.877
ASN,007F,,N,156348344,166174747,,29MAY2022:07:34:11.877
PRE,006A,,,156348346,166174748,,29MAY2022:07:34:11.910
ASN,006A,,N,156348346,166174749,,29MAY2022:07:34:11.910
PRE,009C,,,156348347,166174750,,29MAY2022:07:34:11.957
ASN,009C,,N,156348347,166174751,,29MAY2022:07:34:11.957
PRE,008C,,,156348350,166174752,,29MAY2022:07:34:12.003
ASN,008C,,N,156348350,166174753,,29MAY2022:07:34:12.003
PRE,006C,,,156348351,166174754,,29MAY2022:07:34:12.037
ASN,006C,,N,156348351,166174755,,29MAY2022:07:34:12.037
PRE,020C,,,156348354,166174756,,29MAY2022:07:34:12.083
ASN,020C,,N,156348354,166174757,,29MAY2022:07:34:12.083
PRE,009D,,,156348356,166174758,,29MAY2022:07:34:12.130
PRE,009D,,,156348357,166174759,,29MAY2022:07:34:12.143
ASN,024D,,N,156348357,166174760,,29MAY2022:07:34:12.143
PRE,024C,,,156348358,166174761,,29MAY2022:07:34:12.177
ASN,024C,,N,156348358,166174762,,29MAY2022:07:34:12.177
PRE,005D,,,156348359,166174763,,29MAY2022:07:34:12.190
ASN,019D,,N,156348361,166174764,,29MAY2022:07:34:12.240
PRE,010D,,,156348363,166174765,,29MAY2022:07:34:12.270
ASN,010D,,N,156348363,166174766,,29MAY2022:07:34:12.270
PRE,048H,,,156348364,166174767,,29MAY2022:07:34:12.303
ASN,048H,,N,156348364,166174768,,29MAY2022:07:34:12.303
PRE,006A,,,156348365,166174769,,29MAY2022:07:34:12.333
ASN,006A,,N,156348365,166174770,,29MAY2022:07:34:12.333
PRE,024K,,,156348366,166174771,,29MAY2022:07:34:12.350
ASN,024K,,N,156348366,166174772,,29MAY2022:07:34:12.350
ASN,012C,EX,N,156348367,166174773,,29MAY2022:07:34:12.380
ASN,008C,,N,156348368,166174774,,29MAY2022:07:34:12.397
ASN,024G,,N,156348370,166174775,,29MAY2022:07:34:12.443
ASN,009C,,N,156348372,166174776,,29MAY2022:07:34:12.490
ASN,018B,,N,156348373,166174777,,29MAY2022:07:34:12.507
PRE,033A,,,156348375,166174778,,29MAY2022:07:34:12.553
ASN,023B,,N,156348376,166174779,,29MAY2022:07:34:12.570
PRE,018C,,,156348377,166174780,,29MAY2022:07:34:12.600
ASN,018C,,N,156348377,166174781,,29MAY2022:07:34:12.600
PRE,033C,,,156348379,166174782,,29MAY2022:07:34:12.647
PRE,026C,,,156348380,166174783,,29MAY2022:07:34:12.660
ASN,026C,,N,156348380,166174784,,29MAY2022:07:34:12.660
PRE,024C,,,156348382,166174785,,29MAY2022:07:34:12.710
ASN,024C,,N,156348382,166174786,,29MAY2022:07:34:12.710
PRE,019A,,,156348383,166174787,,29MAY2022:07:34:12.723
ASN,019A,,N,156348383,166174788,,29MAY2022:07:34:12.723
ASN,026A,,N,156348384,166174789,,29MAY2022:07:34:12.740
PRE,026A,,,156348389,166174790,,29MAY2022:07:34:13.033
ASN,026A,,N,156348389,166174791,,29MAY2022:07:34:13.033
PRE,026A,,,156348391,166174792,,29MAY2022:07:34:13.097
ASN,026A,,N,156348391,166174793,,29MAY2022:07:34:13.097
PRE,026B,,,156348392,166174794,,29MAY2022:07:34:13.113
ASN,026B,,N,156348392,166174795,,29MAY2022:07:34:13.113
PRE,026C,,,156348394,166174796,,29MAY2022:07:34:13.160
ASN,026C,,N,156348394,166174797,,29MAY2022:07:34:13.160
PRE,010A,,,156348395,166174798,,29MAY2022:07:34:13.190
ASN,010A,,N,156348395,166174799,,29MAY2022:07:34:13.190
PRE,009A,,,156348396,166174800,,29MAY2022:07:34:13.283
PRE,024A,,,156348397,166174801,,29MAY2022:07:34:13.317
ASN,024A,,N,156348397,166174802,,29MAY2022:07:34:13.317
PRE,022A,,,156348398,166174803,,29MAY2022:07:34:13.330
PRE,023A,,,156348399,166174804,,29MAY2022:07:34:13.363
ASN,023A,,N,156348399,166174805,,29MAY2022:07:34:13.363
ASN,015F,,N,156348400,166174806,,29MAY2022:07:34:13.567
PRE,029K,,,156348402,166174807,,29MAY2022:07:34:13.597
ASN,029K,,N,156348402,166174808,,29MAY2022:07:34:13.597
PRE,023C,,,156348403,166174809,,29MAY2022:07:34:13.627
ASN,023C,,N,156348403,166174810,,29MAY2022:07:34:13.627
PRE,015F,,,156348405,166174811,,29MAY2022:07:34:13.673
ASN,015F,,N,156348405,166174812,,29MAY2022:07:34:13.673
PRE,016A,,,156348406,166174813,,29MAY2022:07:34:13.690
ASN,016A,,N,156348406,166174814,,29MAY2022:07:34:13.690
ASN,040E,,N,156348409,166174815,,29MAY2022:07:34:13.753
ASN,020F,,N,156348411,166174816,,29MAY2022:07:34:13.783
ASN,028K,,N,156348413,166174817,,29MAY2022:07:34:13.817
ASN,044F,,N,156348415,166174818,,29MAY2022:07:34:13.877
ASN,039A,,N,156348417,166174819,,29MAY2022:07:34:13.923
PRE,016B,,,156348419,166174820,,29MAY2022:07:34:13.970
ASN,016B,,N,156348419,166174821,,29MAY2022:07:34:13.970
PRE,018A,,,156348420,166174822,,29MAY2022:07:34:13.987
ASN,018A,,N,156348420,166174823,,29MAY2022:07:34:13.987
PRE,,N,,156348421,166174824,,29MAY2022:07:34:14.003
ASN,015C,,N,156348421,166174825,,29MAY2022:07:34:14.003
PRE,,N,,156348423,166174826,,29MAY2022:07:34:14.050
ASN,040G,,N,156348423,166174827,,29MAY2022:07:34:14.050
PRE,002F,,,156348424,166174828,,29MAY2022:07:34:14.080
PRE,002F,,,156348425,166174829,,29MAY2022:07:34:14.097
ASN,005E,,N,156348425,166174830,,29MAY2022:07:34:14.097
PRE,002A,,,156348426,166174831,,29MAY2022:07:34:14.127
ASN,002A,,N,156348426,166174832,,29MAY2022:07:34:14.127
PRE,016A,,,156348428,166174833,,29MAY2022:07:34:14.160
ASN,016A,,N,156348428,166174834,,29MAY2022:07:34:14.160
PRE,,N,,156348431,166174835,,29MAY2022:07:34:14.220
ASN,028H,,N,156348431,166174836,,29MAY2022:07:34:14.220
PRE,,N,,156348432,166174837,,29MAY2022:07:34:14.257
ASN,016D,,N,156348432,166174838,,29MAY2022:07:34:14.257
PRE,007D,,,156348433,166174839,,29MAY2022:07:34:14.270
ASN,007D,,,156348433,166174840,,29MAY2022:07:34:14.270
PRE,,N,,156348434,166174841,,29MAY2022:07:34:14.303
ASN,016G,,N,156348434,166174842,,29MAY2022:07:34:14.303
PRE,007A,,,156348435,166174843,,29MAY2022:07:34:14.320
ASN,007A,,,156348435,166174844,,29MAY2022:07:34:14.320
PRE,,N,,156348436,166174845,,29MAY2022:07:34:14.333
ASN,016F,,N,156348436,166174846,,29MAY2022:07:34:14.333
PRE,007B,,,156348437,166174847,,29MAY2022:07:34:14.350
ASN,007B,,,156348437,166174848,,29MAY2022:07:34:14.350
PRE,,N,,156348438,166174849,,29MAY2022:07:34:14.380
ASN,016E,,N,156348438,166174850,,29MAY2022:07:34:14.380
PRE,007C,,,156348439,166174851,,29MAY2022:07:34:14.397
ASN,007C,,,156348439,166174852,,29MAY2022:07:34:14.397
PRE,037H,,,156348440,166174853,,29MAY2022:07:34:14.427
ASN,037H,,N,156348440,166174854,,29MAY2022:07:34:14.427
PRE,019C,,,156348441,166174855,,29MAY2022:07:34:14.443
ASN,019C,,N,156348441,166174856,,29MAY2022:07:34:14.443
PRE,025K,,,156348443,166174857,,29MAY2022:07:34:14.490
ASN,025K,,N,156348443,166174858,,29MAY2022:07:34:14.490
PRE,027E,,,156348444,166174859,,29MAY2022:07:34:14.507
ASN,027E,,N,156348444,166174860,,29MAY2022:07:34:14.507
PRE,,N,,156348445,166174861,,29MAY2022:07:34:14.537
ASN,039D,,N,156348445,166174862,,29MAY2022:07:34:14.537
ASN,003E,,N,156348446,166174863,,29MAY2022:07:34:14.553
ASN,003F,,N,156348447,166174864,,29MAY2022:07:34:14.583
ASN,002D,,N,156348448,166174865,,29MAY2022:07:34:14.600
PRE,031A,,,156348449,166174866,,29MAY2022:07:34:14.630
ASN,031A,,N,156348449,166174867,,29MAY2022:07:34:14.630
ASN,022E,,N,156348451,166174868,,29MAY2022:07:34:14.660
PRE,022A,,,156348452,166174869,,29MAY2022:07:34:14.710
ASN,022A,,N,156348452,166174870,,29MAY2022:07:34:14.710
PRE,025A,,,156348453,166174871,,29MAY2022:07:34:14.723
ASN,025A,,N,156348453,166174872,,29MAY2022:07:34:14.723
PRE,016C,,,156348454,166174873,,29MAY2022:07:34:14.757
ASN,016C,,N,156348454,166174874,,29MAY2022:07:34:14.757
PRE,040F,,,156348456,166174875,,29MAY2022:07:34:14.803
ASN,040F,,N,156348456,166174876,,29MAY2022:07:34:14.803
PRE,002D,,,156348457,166174877,,29MAY2022:07:34:14.820
PRE,002D,,,156348458,166174878,,29MAY2022:07:34:14.833
ASN,005F,,N,156348458,166174879,,29MAY2022:07:34:14.833
PRE,002C,,,156348459,166174880,,29MAY2022:07:34:14.867
ASN,002C,,N,156348459,166174881,,29MAY2022:07:34:14.867
PRE,042A,,,156348461,166174882,,29MAY2022:07:34:14.897
ASN,042A,,N,156348461,166174883,,29MAY2022:07:34:14.897
PRE,001C,,,156348462,166174884,,29MAY2022:07:34:14.927
ASN,001C,,N,156348462,166174885,,29MAY2022:07:34:14.927
PRE,004A,,,156348465,166174886,,29MAY2022:07:34:14.973
ASN,004A,,N,156348465,166174887,,29MAY2022:07:34:14.990
PRE,003A,,,156348466,166174888,,29MAY2022:07:34:15.007
PRE,006D,,,156348468,166174889,,29MAY2022:07:34:15.037
ASN,006D,,N,156348468,166174890,,29MAY2022:07:34:15.037
PRE,010D,,,156348469,166174891,,29MAY2022:07:34:15.070
PRE,010D,,,156348471,166174892,,29MAY2022:07:34:15.117
ASN,010D,,N,156348471,166174893,,29MAY2022:07:34:15.117
ASN,031C,,N,156348473,166174894,,29MAY2022:07:34:15.147
ASN,037D,,N,156348475,166174895,,29MAY2022:07:34:15.193
ASN,032C,,N,156348477,166174896,,29MAY2022:07:34:15.240
PRE,043K,,,156348479,166174897,,29MAY2022:07:34:15.290
ASN,043K,,N,156348479,166174898,,29MAY2022:07:34:15.290
ASN,046A,,N,156348480,166174899,,29MAY2022:07:34:15.303
PRE,039K,,,156348482,166174900,,29MAY2022:07:34:15.350
ASN,039K,,N,156348482,166174901,,29MAY2022:07:34:15.350
PRE,039H,,,156348484,166174902,,29MAY2022:07:34:15.397
ASN,039H,,N,156348484,166174903,,29MAY2022:07:34:15.397
PRE,007C,,,156348486,166174904,,29MAY2022:07:34:15.430
ASN,007C,,N,156348486,166174905,,29MAY2022:07:34:15.430
ASN,020D,,N,156348491,166174906,,29MAY2022:07:34:15.570
PRE,005D,,,156348492,166174907,,29MAY2022:07:34:15.617
ASN,005D,,N,156348492,166174908,,29MAY2022:07:34:15.617
PRE,020G,,,156348493,166174909,,29MAY2022:07:34:15.647
ASN,020G,,N,156348493,166174910,,29MAY2022:07:34:15.647
PRE,020D,,,156348495,166174911,,29MAY2022:07:34:15.697
ASN,020D,,N,156348495,166174912,,29MAY2022:07:34:15.697
PRE,025C,,,156348497,166174913,,29MAY2022:07:34:15.743
ASN,025C,,N,156348497,166174914,,29MAY2022:07:34:15.743
PRE,002A,,,156348498,166174915,,29MAY2022:07:34:15.773
PRE,002A,,,156348499,166174916,,29MAY2022:07:34:15.803
ASN,002A,,N,156348499,166174917,,29MAY2022:07:34:15.803
PRE,002A,,,156348500,166174918,,29MAY2022:07:34:15.820
ASN,002A,,,156348500,166174919,,29MAY2022:07:34:15.820
PRE,033K,,,156348501,166174920,,29MAY2022:07:34:15.837
ASN,033K,,N,156348501,166174921,,29MAY2022:07:34:15.837
PRE,008E,,,156348502,166174922,,29MAY2022:07:34:15.870
ASN,008E,,N,156348502,166174923,,29MAY2022:07:34:15.870
ASN,038C,,N,156348503,166174924,,29MAY2022:07:34:15.900
PRE,020C,,,156348504,166174925,,29MAY2022:07:34:15.930
ASN,020C,,N,156348504,166174926,,29MAY2022:07:34:15.930
PRE,011D,,,156348506,166174927,,29MAY2022:07:34:15.970
ASN,011D,,N,156348506,166174928,,29MAY2022:07:34:15.970
ASN,029H,,N,156348510,166174929,,29MAY2022:07:34:16.350
PRE,047A,,,156348513,166174930,,29MAY2022:07:34:16.413
ASN,047A,,N,156348513,166174931,,29MAY2022:07:34:16.413
PRE,002C,,,156348514,166174932,,29MAY2022:07:34:16.443
ASN,002C,,N,156348514,166174933,,29MAY2022:07:34:16.443
PRE,002C,,,156348516,166174934,,29MAY2022:07:34:16.477
ASN,002C,,N,156348516,166174935,,29MAY2022:07:34:16.477
PRE,001E,,,156348517,166174936,,29MAY2022:07:34:16.490
PRE,002D,,,156348518,166174937,,29MAY2022:07:34:16.507
ASN,002D,,N,156348518,166174938,,29MAY2022:07:34:16.507
PRE,022A,,,156348519,166174939,,29MAY2022:07:34:16.537
ASN,022A,,N,156348519,166174940,,29MAY2022:07:34:16.537
PRE,022H,,,156348520,166174941,,29MAY2022:07:34:16.553
ASN,022H,,N,156348520,166174942,,29MAY2022:07:34:16.553
PRE,008D,,,156348521,166174943,,29MAY2022:07:34:16.570
ASN,008D,,,156348521,166174944,,29MAY2022:07:34:16.570
PRE,022K,,,156348522,166174945,,29MAY2022:07:34:16.600
ASN,022K,,N,156348522,166174946,,29MAY2022:07:34:16.600
PRE,008E,,,156348523,166174947,,29MAY2022:07:34:16.617
ASN,008E,,,156348523,166174948,,29MAY2022:07:34:16.617
PRE,010A,,,156348530,166174949,,29MAY2022:07:34:16.740
PRE,010A,,,156348531,166174950,,29MAY2022:07:34:16.773
ASN,027A,,N,156348531,166174951,,29MAY2022:07:34:16.773
PRE,023K,,,156348535,166174952,,29MAY2022:07:34:16.850
ASN,023K,,N,156348535,166174953,,29MAY2022:07:34:16.850
PRE,031H,,,156348538,166174954,,29MAY2022:07:34:16.913
ASN,031H,,N,156348538,166174955,,29MAY2022:07:34:16.913
PRE,041K,,,156348543,166174956,,29MAY2022:07:34:16.990
ASN,041K,,N,156348543,166174957,,29MAY2022:07:34:16.990
PRE,022A,,,156348544,166174958,,29MAY2022:07:34:17.023
ASN,022A,,N,156348544,166174959,,29MAY2022:07:34:17.023
PRE,,N,,156348545,166174960,,29MAY2022:07:34:17.037
ASN,021F,,N,156348545,166174961,,29MAY2022:07:34:17.037
PRE,008A,,,156348551,166174962,,29MAY2022:07:34:17.193
ASN,008A,,N,156348551,166174963,,29MAY2022:07:34:17.193
PRE,038D,,,156348552,166174964,,29MAY2022:07:34:17.210
ASN,038D,,N,156348552,166174965,,29MAY2022:07:34:17.210
PRE,,N,,156348553,166174966,,29MAY2022:07:34:17.243
ASN,020K,,N,156348553,166174967,,29MAY2022:07:34:17.243
PRE,007D,,,156348554,166174968,,29MAY2022:07:34:17.277
PRE,023G,,,156348555,166174969,,29MAY2022:07:34:17.290
ASN,023G,,N,156348555,166174970,,29MAY2022:07:34:17.290
PRE,009B,,,156348556,166174971,,29MAY2022:07:34:17.603
ASN,009B,,,156348556,166174972,,29MAY2022:07:34:17.603
PRE,007E,,,156348557,166174973,,29MAY2022:07:34:17.633
PRE,023F,,,156348558,166174974,,29MAY2022:07:34:17.650
ASN,023F,,N,156348558,166174975,,29MAY2022:07:34:17.650
PRE,009A,,,156348559,166174976,,29MAY2022:07:34:17.667
ASN,009A,,,156348559,166174977,,29MAY2022:07:34:17.667
PRE,006E,,,156348560,166174978,,29MAY2022:07:34:17.697
ASN,006E,,N,156348560,166174979,,29MAY2022:07:34:17.697
PRE,006E,,,156348562,166174980,,29MAY2022:07:34:17.730
ASN,006E,,N,156348562,166174981,,29MAY2022:07:34:17.730
PRE,005C,,,156348563,166174982,,29MAY2022:07:34:17.760
ASN,005C,,N,156348563,166174983,,29MAY2022:07:34:17.760
PRE,026H,,,156348565,166174984,,29MAY2022:07:34:17.807
ASN,026H,,N,156348565,166174985,,29MAY2022:07:34:17.807
PRE,006F,,,156348566,166174986,,29MAY2022:07:34:17.837
ASN,006F,,N,156348566,166174987,,29MAY2022:07:34:17.837
PRE,006F,,,156348568,166174988,,29MAY2022:07:34:17.870
ASN,006F,,N,156348568,166174989,,29MAY2022:07:34:17.870
PRE,005D,,,156348569,166174990,,29MAY2022:07:34:17.883
ASN,005D,,N,156348569,166174991,,29MAY2022:07:34:17.883
PRE,026K,,,156348571,166174992,,29MAY2022:07:34:17.930
ASN,026K,,N,156348571,166174993,,29MAY2022:07:34:17.930
PRE,016F,,,156348572,166174994,,29MAY2022:07:34:17.963
ASN,016F,,N,156348572,166174995,,29MAY2022:07:34:17.963
PRE,017B,,,156348573,166174996,,29MAY2022:07:34:17.980
ASN,017B,,N,156348573,166174997,,29MAY2022:07:34:17.980
ASN,018C,,N,156348574,166174998,,29MAY2022:07:34:17.993
ASN,020E,,N,156348577,166174999,,29MAY2022:07:34:18.040
PRE,026A,,,156348578,166175000,,29MAY2022:07:34:18.073
ASN,026A,,N,156348578,166175001,,29MAY2022:07:34:18.073
PRE,017A,,,156348579,166175002,,29MAY2022:07:34:18.087
ASN,017A,,N,156348579,166175003,,29MAY2022:07:34:18.087
ASN,018B,,N,156348580,166175004,,29MAY2022:07:34:18.103
ASN,020F,,N,156348583,166175005,,29MAY2022:07:34:18.167
PRE,023A,,,156348584,166175006,,29MAY2022:07:34:18.197
ASN,023A,,N,156348584,166175007,,29MAY2022:07:34:18.197
PRE,011A,,,156348586,166175008,,29MAY2022:07:34:18.230
ASN,011A,,N,156348586,166175009,,29MAY2022:07:34:18.230
PRE,011A,,,156348587,166175010,,29MAY2022:07:34:18.247
ASN,011A,,N,156348587,166175011,,29MAY2022:07:34:18.247
PRE,031A,,,156348590,166175012,,29MAY2022:07:34:18.307
ASN,031A,,N,156348590,166175013,,29MAY2022:07:34:18.307
PRE,047C,,,156348595,166175014,,29MAY2022:07:34:18.387
ASN,047C,,N,156348595,166175015,,29MAY2022:07:34:18.387
PRE,032K,,,156348597,166175016,,29MAY2022:07:34:18.433
ASN,032K,,N,156348597,166175017,,29MAY2022:07:34:18.433
PRE,010E,,,156348598,166175018,,29MAY2022:07:34:18.450
ASN,010E,,N,156348598,166175019,,29MAY2022:07:34:18.450
PRE,006B,,,156348599,166175020,,29MAY2022:07:34:18.463
ASN,006B,,N,156348599,166175021,,29MAY2022:07:34:18.463
PRE,020B,,,156348600,166175022,,29MAY2022:07:34:18.543
ASN,020B,,N,156348600,166175023,,29MAY2022:07:34:18.543
PRE,022B,,,156348603,166175024,,29MAY2022:07:34:18.620
ASN,022B,,N,156348603,166175025,,29MAY2022:07:34:18.620
PRE,025B,,,156348604,166175026,,29MAY2022:07:34:18.637
ASN,025B,,N,156348604,166175027,,29MAY2022:07:34:18.637
PRE,,N,,156348605,166175028,,29MAY2022:07:34:18.653
ASN,016B,,N,156348605,166175029,,29MAY2022:07:34:18.653
PRE,040D,,,156348607,166175030,,29MAY2022:07:34:18.700
ASN,040D,,N,156348607,166175031,,29MAY2022:07:34:18.700
ASN,045D,,N,156348608,166175032,,29MAY2022:07:34:18.713
ASN,021C,,N,156348610,166175033,,29MAY2022:07:34:18.763
ASN,050H,,N,156348611,166175034,,29MAY2022:07:34:18.793
PRE,,N,,156348612,166175035,,29MAY2022:07:34:18.810
ASN,003C,,N,156348612,166175036,,29MAY2022:07:34:18.810
PRE,006C,,,156348613,166175037,,29MAY2022:07:34:18.857
ASN,006C,,N,156348613,166175038,,29MAY2022:07:34:18.857
PRE,008D,,,156348614,166175039,,29MAY2022:07:34:18.870
PRE,023D,,,156348615,166175040,,29MAY2022:07:34:18.887
ASN,023D,,N,156348615,166175041,,29MAY2022:07:34:18.887
PRE,010F,,,156348617,166175042,,29MAY2022:07:34:18.950
PRE,020F,,,156348618,166175043,,29MAY2022:07:34:18.970
PRE,025A,,,156348619,166175044,,29MAY2022:07:34:18.993
ASN,025A,,N,156348619,166175045,,29MAY2022:07:34:18.993
PRE,007F,,,156348620,166175046,,29MAY2022:07:34:19.010
PRE,022K,,,156348621,166175047,,29MAY2022:07:34:19.057
ASN,019D,,N,156348622,166175048,,29MAY2022:07:34:19.090
ASN,021E,,N,156348625,166175049,,29MAY2022:07:34:19.133
PRE,021A,,,156348626,166175050,,29MAY2022:07:34:19.167
ASN,021A,,N,156348626,166175051,,29MAY2022:07:34:19.167
ASN,042D,,N,156348629,166175052,,29MAY2022:07:34:19.213
PRE,040H,,,156348631,166175053,,29MAY2022:07:34:19.260
ASN,040H,,N,156348631,166175054,,29MAY2022:07:34:19.260
ASN,041G,,N,156348632,166175055,,29MAY2022:07:34:19.290
PRE,,N,,156348633,166175056,,29MAY2022:07:34:19.323
ASN,016C,,N,156348633,166175057,,29MAY2022:07:34:19.323
PRE,010F,,,156348635,166175058,,29MAY2022:07:34:19.353
PRE,010F,,,156348636,166175059,,29MAY2022:07:34:19.370
ASN,023A,,N,156348636,166175060,,29MAY2022:07:34:19.370
PRE,,N,,156348637,166175061,,29MAY2022:07:34:19.383
ASN,009A,,N,156348637,166175062,,29MAY2022:07:34:19.383
PRE,016A,,,156348640,166175063,,29MAY2022:07:34:19.430
ASN,016A,,N,156348640,166175064,,29MAY2022:07:34:19.430
PRE,030K,,,156348641,166175065,,29MAY2022:07:34:19.463
ASN,030K,,N,156348641,166175066,,29MAY2022:07:34:19.463
PRE,037H,,,156348642,166175067,,29MAY2022:07:34:19.493
ASN,037H,,N,156348642,166175068,,29MAY2022:07:34:19.493
PRE,006A,,,156348643,166175069,,29MAY2022:07:34:19.510
ASN,006A,,N,156348643,166175070,,29MAY2022:07:34:19.510
PRE,005A,,,156348644,166175071,,29MAY2022:07:34:19.540
ASN,005A,,N,156348644,166175072,,29MAY2022:07:34:19.540
PRE,037K,,,156348648,166175073,,29MAY2022:07:34:19.603
ASN,037K,,N,156348648,166175074,,29MAY2022:07:34:19.603
PRE,015A,,,156348649,166175075,,29MAY2022:07:34:19.620
ASN,015A,,N,156348649,166175076,,29MAY2022:07:34:19.620
PRE,011F,,,156348650,166175077,,29MAY2022:07:34:19.650
ASN,011F,,N,156348650,166175078,,29MAY2022:07:34:19.650
PRE,033H,,,156348654,166175079,,29MAY2022:07:34:19.713
ASN,033H,,N,156348654,166175080,,29MAY2022:07:34:19.713
PRE,010D,,,156348655,166175081,,29MAY2022:07:34:19.730
ASN,010D,,N,156348655,166175082,,29MAY2022:07:34:19.730
PRE,006C,,,156348656,166175083,,29MAY2022:07:34:19.760
ASN,006C,,N,156348656,166175084,,29MAY2022:07:34:19.760
PRE,020C,,,156348657,166175085,,29MAY2022:07:34:19.777
ASN,020C,,N,156348657,166175086,,29MAY2022:07:34:19.777
PRE,019A,,,156348660,166175087,,29MAY2022:07:34:19.823
ASN,019A,,N,156348660,166175088,,29MAY2022:07:34:19.823
ASN,010A,,N,156348661,166175089,,29MAY2022:07:34:19.853
PRE,017A,,,156348662,166175090,,29MAY2022:07:34:19.883
ASN,017A,,N,156348662,166175091,,29MAY2022:07:34:19.883
PRE,027K,,,156348666,166175092,,29MAY2022:07:34:19.963
ASN,027K,,N,156348666,166175093,,29MAY2022:07:34:19.963
PRE,033K,,,156348667,166175094,,29MAY2022:07:34:19.993
ASN,033K,,N,156348667,166175095,,29MAY2022:07:34:19.993
PRE,010F,,,156348668,166175096,,29MAY2022:07:34:20.010
ASN,010F,,N,156348668,166175097,,29MAY2022:07:34:20.010
PRE,006A,,,156348669,166175098,,29MAY2022:07:34:20.040
ASN,006A,,N,156348669,166175099,,29MAY2022:07:34:20.040
PRE,020A,,,156348670,166175100,,29MAY2022:07:34:20.353
ASN,020A,,N,156348670,166175101,,29MAY2022:07:34:20.353
