ID_TICKETS,CPR_DOCUMENTNO,CPR_DOCUMENTTYPE,CPR_STATUS,CPR_ITEMNO,CPR_CPNNO,CPR_SUBQUALIFIER,CPR_LANGUAGE,CPR_SOURCE,CPR_ENCODING,CPR_FREETEXT,CPR_MARKETINGCOMP,ID_PRODUCTLEVEL,CPR_DOCUMENTNO1,CPR_DOCUMENTTYPE1,CPR_STATUS1,DWH_SNAPSHOTTIMESTAMP
61351451,2.32588E+12,E,ASS,,1,,,,,,,155686577,2.32588E+12,E,ASS,29MAY2022:08:19:23.510
61351452,2.32246E+12,E,ASS,,1,,,,,,,155686578,2.32246E+12,E,ASS,29MAY2022:08:19:23.540
61351453,2.32246E+12,E,ASS,,2,,,,,,,155686579,2.32246E+12,E,ASS,29MAY2022:08:19:23.573
61351454,2.3278E+12,E,ASS,,1,,,,,,,155686580,2.3278E+12,E,ASS,29MAY2022:08:19:23.603
61351455,2.3278E+12,E,ASS,,1,,,,,,,155686583,2.3278E+12,E,ASS,29MAY2022:08:19:23.667
61351456,2.32671E+12,E,ASS,,1,,,,,,,155686586,2.32671E+12,E,ASS,29MAY2022:08:19:23.713
61351457,2.32246E+12,E,ASS,,2,,,,,,,155686588,2.32246E+12,E,ASS,29MAY2022:08:19:23.760
61351458,2.32246E+12,E,ASS,,2,,,,,,,155686590,2.32246E+12,E,ASS,29MAY2022:08:19:23.823
61351459,2.32246E+12,E,ASS,,2,,,,,,,155686592,2.32246E+12,E,ASS,29MAY2022:08:19:23.853
61351460,2.32691E+12,E,ASS,,1,,,,,,,155686593,2.32691E+12,E,ASS,29MAY2022:08:19:23.883
61351461,2.32246E+12,E,ASS,,1,,,,,,,155686595,2.32246E+12,E,ASS,29MAY2022:08:19:23.947
61351462,2.32246E+12,E,ASS,,1,,,,,,,155686596,2.32246E+12,E,ASS,29MAY2022:08:19:23.980
61351463,2.32246E+12,E,ASS,,2,,,,,,,155686598,2.32246E+12,E,ASS,29MAY2022:08:19:24.027
61351464,2.32246E+12,E,ASS,,2,,,,,,,155686600,2.32246E+12,E,ASS,29MAY2022:08:19:24.087
61351465,2.32246E+12,E,ASS,,1,,,,,,,155686607,2.32246E+12,E,ASS,29MAY2022:08:19:24.197
