ID_BAG_ITIN,CPR_MARKTNG_CARRIER,CPR_FLGHT_NUMBER,CPR_OPT_SUFX,CPR_DEPT_DATE,CPR_BRDPT,CPR_OFFPT,CPR_ARRVDATE,CPR_BAGSTAT_INDC1,CPR_BAGSTAT_INDC2,CPR_BAGSTAT_ACTN1,CPR_BAGSTAT_ACTN2,ID_BAGGAGE_INFO,DWH_SNAPSHOTTIMESTAMP
43446167,MH,2635,,28-May-22,LBU,KUL,,,,,,30816475,29MAY2022:07:14:21.647
43446168,MH,2635,,28-May-22,LBU,KUL,,,,,,30816476,29MAY2022:07:14:21.647
43446169,MH,2635,,28-May-22,LBU,KUL,,,,,,30816477,29MAY2022:07:14:21.647
43446170,MH,2635,,28-May-22,LBU,KUL,,,,,,30816478,29MAY2022:07:14:21.647
43446171,MH,2635,,28-May-22,LBU,KUL,,,,,,30816479,29MAY2022:07:14:23.553
43446172,MH,2635,,28-May-22,LBU,KUL,,,,,,30816480,29MAY2022:07:14:23.570
43446173,MH,2635,,28-May-22,LBU,KUL,,,,,,30816481,29MAY2022:07:14:23.600
43446174,MH,2635,,28-May-22,LBU,KUL,,,,,,30816482,29MAY2022:07:14:23.630
43446175,MH,2609,,26-May-22,LBU,KUL,,,,,,30816483,29MAY2022:07:14:23.677
43446176,MH,1057,,26-May-22,KUL,JHB,,,,,,30816483,29MAY2022:07:14:23.677
43446177,MH,2635,,28-May-22,LBU,KUL,,,,,,30816484,29MAY2022:07:14:23.710
43446178,MH,2635,,28-May-22,LBU,KUL,,,,,,30816485,29MAY2022:07:14:23.740
43446179,MH,2635,,28-May-22,LBU,KUL,,,,,,30816486,29MAY2022:07:14:23.770
43446180,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816487,29MAY2022:07:14:23.803
43446181,MH,2608,,28-May-22,KUL,LBU,,,,,,30816488,29MAY2022:07:14:23.833
43446182,MH,2635,,28-May-22,LBU,KUL,,,,,,30816489,29MAY2022:07:14:23.867
43446183,MH,2635,,28-May-22,LBU,KUL,,,,,,30816490,29MAY2022:07:14:23.880
43446184,MH,2635,,28-May-22,LBU,KUL,,,,,,30816491,29MAY2022:07:14:23.910
43446185,MH,2635,,28-May-22,LBU,KUL,,,,,,30816492,29MAY2022:07:14:23.943
43446186,MH,2608,,27-May-22,KUL,LBU,,,,,,30816493,29MAY2022:07:14:23.990
43446187,MH,2635,,28-May-22,LBU,KUL,,,,,,30816494,29MAY2022:07:14:24.023
43446188,MH,2608,,22-May-22,KUL,LBU,,,,,,30816495,29MAY2022:07:14:24.053
43446189,MH,2635,,28-May-22,LBU,KUL,,,,,,30816496,29MAY2022:07:14:24.087
43446190,MH,2635,,28-May-22,LBU,KUL,,,,,,30816497,29MAY2022:07:14:24.117
43446191,MH,2635,,28-May-22,LBU,KUL,,,,,,30816498,29MAY2022:07:14:24.147
43446192,MH,2646,,26-May-22,KUL,BKI,,,,,,30816499,29MAY2022:07:14:24.163
43446193,MH,2609,,28-May-22,LBU,KUL,,,,,,30816500,29MAY2022:07:14:24.210
43446194,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816501,29MAY2022:07:22:06.410
43446195,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816502,29MAY2022:07:22:06.410
43446196,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816503,29MAY2022:07:22:06.410
43446197,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816504,29MAY2022:07:22:06.410
43446198,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816505,29MAY2022:07:22:06.410
43446199,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816506,29MAY2022:07:22:06.410
43446200,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816507,29MAY2022:07:22:06.423
43446201,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816508,29MAY2022:07:22:06.423
43446202,MH,1426,,28-May-22,KUL,KBR,,,,,,30816508,29MAY2022:07:22:06.423
