CPR_ORIGIN,CPR_DESTINATION,ID_LEGLEVEL_LEGROUTING,CPR_IDENTITERMINAL,CPR_LOCIDENTERMINAL,CPR_TRANSSTAGEQUALIFIER,CPR_AIRLINEDESIGNATOR,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_UNIQUEREFERENCE,CPR_ATTRIBUTETYPE,CPR_ATTRIDESCRIPTION,CPR_CLASSDESIGNATOR,CPR_TYPE1,CPR_TYPE2,CPR_VALUE1,CPR_VALUE2,CPR_TEXTSUBQUALIFIER,CPR_CODEDLANGUAGE,CPR_CODEDSOURCE,CPR_ENCODING,CPR_TEXTFREETEXT,CPR_ACTIONREQCODE,CPR_TEXTSEMANTIC,CPR_TEXTLANGUAGE,CPR_TEXTSOURCE,CPR_TEXTENCODING,CPR_FREETEXT,CPR_CLSOFSERVICE,ID_PRODUCTLEVEL,CPR_COACHNUMBER,CPR_TEXTSUBQUALIFIER1,CPR_INFORMATIONTYPE1,CPR_CODEDLANGUAGE1,CPR_CODEDSOURCE1,CPR_ENCODING1,CPR_FREETEXT1,CPR_CODEDINDICATOR,CPR_CODEDACTION,CPR_CODEDSTATUSREASON,CPR_SEATNUMBER,DWH_SNAPSHOTTIMESTAMP
BKI,KUL,156346141,,,,,,,,,,,4,,BKI-172,,3,,M,1,,,,,,,Airline Staff,,155680918,,,,,,,,PPD,0,,,29MAY2022:06:57:58.070
BKI,KUL,156346142,1,M,,,,,,,,,4,,BKI-158,,3,,M,1,,,,,,,ok,,155680919,,,,,,,,PPD,0,,,29MAY2022:06:57:58.227
BKI,KUL,156346143,1,M,,,,,,,,,,,,,,,,,,,,,,,,,155680920,,,,,,,,PPD,0,,,29MAY2022:06:57:58.370
BKI,KUL,156346144,1,M,,,,,,,,,4,,BKI-136,,,,,,,,,,,,,,155680921,,,,,,,,PPD,0,,,29MAY2022:06:57:58.543
KUL,BKI,156346145,,,,,,,,,,,,,,,,,,,,,,,,,,,155680922,,,,,,,,PPD,0,,,29MAY2022:06:57:58.670
BKI,KUL,156346146,1,M,,,,,,,,,4,,BKI-134,,,,,,,,,,,,,,155680923,,,,,,,,PPD,0,,,29MAY2022:06:57:58.827
KUL,BKI,156346147,,,,,,,,,,,,,,,,,,,,,,,,,,,155680924,,,,,,,,PPD,0,,,29MAY2022:06:57:58.950
BKI,KUL,156346148,1,M,,,,,,,,,4,,BKI-135,,,,,,,,,,,,,,155680925,,,,,,,,PPD,0,,,29MAY2022:06:57:59.140
KUL,BKI,156346149,,,,,,,,,,,,,,,,,,,,,,,,,,,155680926,,,,,,,,PPD,0,,,29MAY2022:06:57:59.263
KUL,BKI,156346150,M,1,,,,,,,,,4,,KUL-083,,,,,,,,,,,,,,155680927,,,,,,,,PPD,0,,,29MAY2022:06:57:59.450
BKI,KUL,156346151,1,M,,,,,,,,,4,,BKI-084,,,,,,,,,,,,,,155680928,,,,,,,,PPD,0,,,29MAY2022:06:57:59.607
BKI,KUL,156346152,1,M,,,,,,,,,,,,,,,,,,,,,,,,,155680929,,,,,,,,PPD,0,,,29MAY2022:06:57:59.747
KUL,BKI,156346153,M,1,,,,,,,,,4,,KUL-033,,,,,,,,,,,,,,155680930,,,,,,,,PPD,0,,,29MAY2022:06:57:59.920
BKI,KUL,156346154,1,M,,,,,,,,,4,,BKI-092,,,,,,,,,,,,,,155680931,,,,,,,,PPD,0,,,29MAY2022:06:58:00.090
BKI,KUL,156346155,1,M,,,,,,,,,4,,BKI-005,,3,,M,1,,,,,,,Customer Request,,155680932,,,,,,,,PPD,0,,,29MAY2022:06:58:00.217
BKI,KUL,156346156,1,M,,,,,,,,,4,,BKI-149,,3,,M,1,,,,,,,OK,,155680933,,,,,,,,PPD,0,,,29MAY2022:06:58:00.450
KUL,TGG,156346157,M,,,,,,,,,,4,,KUL-115,,3,,M,1,,,,,,,OK,,155680934,,,,,,,,PPD,0,,,29MAY2022:06:58:00.620
TGG,KUL,156346158,,,,,,,,,,,,,,,,,,,,,,,,,,,155680935,,,,,,,,PPD,0,,,29MAY2022:06:58:00.777
KUL,BKI,156346159,,,,,,,,,,,,,,,,,,,,,,,,,,,155680936,,,,,,,,PPD,0,,,29MAY2022:06:58:00.900
BKI,KUL,156346160,1,M,,,,,,,,,4,,BKI-036,,,,,,,,,,,,,,155680937,,,,,,,,PPD,0,,,29MAY2022:06:58:01.073
BKI,KUL,156346161,1,M,,,,,,,,,,,,,,,,,,,,,,,,,155680938,,,,,,,,PPD,0,,,29MAY2022:06:58:01.133
