CPR_ORIGIN,CPR_DESTINATION,ID_LEGLEVEL_LEGROUTING,CPR_IDENTITERMINAL,CPR_LOCIDENTERMINAL,CPR_TRANSSTAGEQUALIFIER,CPR_AIRLINEDESIGNATOR,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_UNIQUEREFERENCE,CPR_ATTRIBUTETYPE,CPR_ATTRIDESCRIPTION,CPR_CLASSDESIGNATOR,CPR_TYPE1,CPR_TYPE2,CPR_VALUE1,CPR_VALUE2,CPR_TEXTSUBQUALIFIER,CPR_CODEDLANGUAGE,CPR_CODEDSOURCE,CPR_ENCODING,CPR_TEXTFREETEXT,CPR_ACTIONREQCODE,CPR_TEXTSEMANTIC,CPR_TEXTLANGUAGE,CPR_TEXTSOURCE,CPR_TEXTENCODING,CPR_FREETEXT,CPR_CLSOFSERVICE,ID_PRODUCTLEVEL,CPR_COACHNUMBER,CPR_TEXTSUBQUALIFIER1,CPR_INFORMATIONTYPE1,CPR_CODEDLANGUAGE1,CPR_CODEDSOURCE1,CPR_ENCODING1,CPR_FREETEXT1,CPR_CODEDINDICATOR,CPR_CODEDACTION,CPR_CODEDSTATUSREASON,CPR_SEATNUMBER,DWH_SNAPSHOTTIMESTAMP
LBU,KUL,156347584,,M,,,,,,,,,4,,LBU-034,,,,,,,,,,,,,,155682365,,,,,,,,PPD,0,,,29MAY2022:07:14:10.137
KUL,LBU,156347585,,,,,,,,,,,,,,,,,,,,,,,,,,,155682366,,,,,,,,PPD,0,,,29MAY2022:07:14:10.170
LBU,KUL,156347586,,M,,,,,,,,,4,,LBU-035,,,,,,,,,,,,,,155682367,,,,,,,,PPD,0,,,29MAY2022:07:14:10.230
KUL,LBU,156347587,,,,,,,,,,,,,,,,,,,,,,,,,,,155682368,,,,,,,,PPD,0,,,29MAY2022:07:14:10.247
KUL,LBU,156347588,M,,,,,,,,,,4,,KUL-020,,,,,,,,,,,,,,155682369,,,,,,,,PPD,0,,,29MAY2022:07:14:10.277
LBU,KUL,156347589,,M,,,,,,,,,4,,LBU-073,,,,,,,,,,,,,,155682370,,,,,,,,PPD,0,,,29MAY2022:07:14:10.310
KUL,LBU,156347590,M,,,,,,,,,,4,,KUL-019,,,,,,,,,,,,,,155682371,,,,,,,,PPD,0,,,29MAY2022:07:14:10.340
LBU,KUL,156347591,,M,,,,,,,,,4,,LBU-071,,,,,,,,,,,,,,155682372,,,,,,,,PPD,0,,,29MAY2022:07:14:10.370
KUL,LBU,156347592,M,,,,,,,,,,4,,KUL-018,,,,,,,,,,,,,,155682373,,,,,,,,PPD,0,,,29MAY2022:07:14:10.403
LBU,KUL,156347593,,M,,,,,,,,,4,,LBU-072,,,,,,,,,,,,,,155682374,,,,,,,,PPD,0,,,29MAY2022:07:14:10.433
LBU,KUL,156347594,,M,,,,,,,,,4,,LBU-029,,,,,,,,,,,,,,155682375,,,,,,,,PPD,0,,,29MAY2022:07:14:10.480
LBU,KUL,156347595,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682376,,,,,,,,PPD,0,,,29MAY2022:07:14:10.510
KUL,LBU,156347596,,,,,,,,,,,,,,,,,,,,,,,,,,,155682377,,,,,,,,PPD,0,,,29MAY2022:07:14:10.543
LBU,KUL,156347597,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682378,,,,,,,,PPD,0,,,29MAY2022:07:14:10.573
KUL,LBU,156347598,,,,,,,,,,,,,,,,,,,,,,,,,,,155682379,,,,,,,,PPD,0,,,29MAY2022:07:14:10.607
LBU,KUL,156347599,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682380,,,,,,,,PPD,0,,,29MAY2022:07:14:10.637
KUL,LBU,156347600,,,,,,,,,,,,,,,,,,,,,,,,,,,155682381,,,,,,,,PPD,0,,,29MAY2022:07:14:10.653
LBU,KUL,156347601,,M,,,,,,,,,4,,LBU-120,,,,,,,,,,,,,,155682382,,,,,,,,PPD,0,,,29MAY2022:07:14:10.713
LBU,KUL,156347602,,M,,,,,,,,,4,,LBU-012,,3,,M,1,,,,,,,CUSTOMER DATA TRANSFER,,155682383,,,,,,,,PPD,0,,,29MAY2022:07:14:10.747
LBU,KUL,156347603,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682384,,,,,,,,PPD,0,,,29MAY2022:07:14:10.777
LBU,KUL,156347604,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682385,,,,,,,,PPD,0,,,29MAY2022:07:14:10.810
KUL,JED,156347605,,,,,,,,,,,,,,,,,,,,,,,,,,,155682386,,,,,,,,PPD,0,,,29MAY2022:07:14:10.823
JED,DXB,156347606,,,,,,,,,,,,,,,,,,,,,,,,,,,155682387,,,,,,,,PPD,0,,,29MAY2022:07:14:10.840
LBU,KUL,156347607,,M,,,,,,,,,4,,LBU-057,,,,,,,,,,,,,,155682388,,,,,,,,PPD,0,,,29MAY2022:07:14:10.933
KUL,JED,156347608,,,,,,,,,,,,,,,,,,,,,,,,,,,155682389,,,,,,,,PPD,0,,,29MAY2022:07:14:10.963
JED,DXB,156347609,,,,,,,,,,,,,,,,,,,,,,,,,,,155682390,,,,,,,,PPD,0,,,29MAY2022:07:14:11.010
LBU,KUL,156347610,,M,,,,,,,,,4,,LBU-058,,,,,,,,,,,,,,155682391,,,,,,,,PPD,0,,,29MAY2022:07:14:11.073
LBU,KUL,156347611,,M,,,,,,,,,4,,LBU-067,,,,,,,,,,,,,,155682392,,,,,,,,PPD,0,,,29MAY2022:07:14:11.137
KUL,SIN,156347612,,,,,,,,,,,,,,,,,,,,,,,,,,,155682393,,,,,,,,PPD,0,,,29MAY2022:07:14:11.167
LBU,KUL,156347613,,M,,,,,,,,,4,,LBU-133,,,,,,,,,,,,,,155682394,,,,,,,,PPD,0,,,29MAY2022:07:14:11.217
KUL,LBU,156347614,,,,,,,,,,,,,,,,,,,,,,,,,,,155682395,,,,,,,,PPD,0,,,29MAY2022:07:14:11.230
LBU,KUL,156347615,,M,,,,,,,,,4,,LBU-041,,,,,,,,,,,,,,155682396,,,,,,,,PPD,0,,,29MAY2022:07:14:11.280
LBU,KUL,156347616,,M,,,,,,,,,4,,LBU-033,,3,,M,1,,,,,,,CUSTOMER DATA TRANSFER,,155682397,,,,,,,,PPD,0,,,29MAY2022:07:14:11.310
LBU,KUL,156347617,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682398,,,,,,,,PPD,0,,,29MAY2022:07:14:11.357
LBU,KUL,156347618,,M,,,,,,,,,4,,LBU-100,,3,,M,1,,,,,,,ok,,155682399,,,,,,,,PPD,0,,,29MAY2022:07:14:11.387
KUL,LBU,156347619,,,,,,,,,,,,,,,,,,,,,,,,,,,155682400,,,,,,,,PPD,0,,,29MAY2022:07:14:11.403
KUL,LBU,156347620,,,,,,,,,,,4,,KUL-148,,,,,,,,,,,,,,155682401,,,,,,,,PPD,0,,,29MAY2022:07:14:11.450
LBU,KUL,156347621,,M,,,,,,,,,4,,LBU-019,,,,,,,,,,,,,,155682402,,,,,,,,PPD,0,,,29MAY2022:07:14:11.480
KUL,LBU,156347622,,,,,,,,,,,4,,KUL-149,,,,,,,,,,,,,,155682403,,,,,,,,PPD,0,,,29MAY2022:07:14:11.513
LBU,KUL,156347623,,,,,,,,,,,4,,LBU-067,,,,,,,,,,,,,,155682404,,,,,,,,PPD,0,,,29MAY2022:07:14:11.560
LBU,KUL,156347624,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682405,,,,,,,,PPD,0,,,29MAY2022:07:14:11.577
EDI,LHR,156347625,,,,,,,,,,,,,,,,,,,,,,,,,,,155682406,,,,,,,,PPD,0,,,29MAY2022:07:14:11.623
LHR,KUL,156347626,,,,,,,,,,,4,,LHR-143,,,,,,,,,,,,,,155682407,,,,,,,,PPD,0,,,29MAY2022:07:14:11.653
KUL,LBU,156347627,,,,,,,,,,,4,,KUL-052,,,,,,,,,,,,,,155682408,,,,,,,,PPD,0,,,29MAY2022:07:14:11.683
LBU,KUL,156347628,,M,,,,,,,,,,,,,3,,M,1,,,,,,,NOSHOW BY ONLOAD PROCESS,,155682409,,,,,,,,PPD,0,,,29MAY2022:07:14:11.717
KUL,LHR,156347629,M,2,,,,,,,,,,,,,,,,,,,,,,,,,155682410,,,,,,,,PPD,0,,,29MAY2022:07:14:11.747
LHR,EDI,156347630,,,,,,,,,,,,,,,,,,,,,,,,,,,155682411,,,,,,,,PPD,0,,,29MAY2022:07:14:11.763
LBU,KUL,156347631,,M,,,,,,,,,4,,LBU-054,,,,,,,,,,,,,,155682412,,,,,,,,PPD,0,,,29MAY2022:07:14:11.793
KUL,LBU,156347632,,,,,,,,,,,,,,,,,,,,,,,,,,,155682413,,,,,,,,PPD,0,,,29MAY2022:07:14:11.827
LBU,KUL,156347633,,M,,,,,,,,,4,,LBU-097,,3,,M,1,,,,,,,okay,,155682414,,,,,,,,PPD,0,,,29MAY2022:07:14:11.857
KUL,LBU,156347634,,,,,,,,,,,,,,,,,,,,,,,,,,,155682415,,,,,,,,PPD,0,,,29MAY2022:07:14:11.873
KUL,LBU,156347635,,,,,,,,,,,,,,,,,,,,,,,,,,,155682416,,,,,,,,PPD,0,,,29MAY2022:07:14:11.903
KUL,LBU,156347636,M,,,,,,,,,,4,,KUL-025,,,,,,,,,,,,,,155682417,,,,,,,,PPD,0,,,29MAY2022:07:14:11.933
LBU,KUL,156347637,,M,,,,,,,,,4,,LBU-043,,,,,,,,,,,,,,155682418,,,,,,,,PPD,0,,,29MAY2022:07:14:11.967
KUL,LBU,156347638,M,,,,,,,,,,,,,,,,,,,,,,,,,,155682419,,,,,,,,PPD,0,,,29MAY2022:07:14:11.997
LBU,KUL,156347639,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682420,,,,,,,,PPD,0,,,29MAY2022:07:14:12.013
LBU,KUL,156347640,,,,,,,,,,,,,,,,,,,,,,,,,,,155682421,,,,,,,,PPD,0,,,29MAY2022:07:14:12.043
LBU,KUL,156347641,,,,,,,,,,,,,,,,,,,,,,,,,,,155682422,,,,,,,,PPD,0,,,29MAY2022:07:14:12.060
KUL,LBU,156347642,,,,,,,,,,,,,,,,,,,,,,,,,,,155682423,,,,,,,,PPD,0,,,29MAY2022:07:14:12.090
KUL,LBU,156347643,M,,,,,,,,,,4,,KUL-026,,,,,,,,,,,,,,155682424,,,,,,,,PPD,0,,,29MAY2022:07:14:12.123
LBU,KUL,156347644,,M,,,,,,,,,4,,LBU-044,,,,,,,,,,,,,,155682425,,,,,,,,PPD,0,,,29MAY2022:07:14:12.153
KUL,LBU,156347645,M,,,,,,,,,,,,,,,,,,,,,,,,,,155682426,,,,,,,,PPD,0,,,29MAY2022:07:14:12.183
LBU,KUL,156347646,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682427,,,,,,,,PPD,0,,,29MAY2022:07:14:12.217
LBU,KUL,156347647,,,,,,,,,,,,,,,,,,,,,,,,,,,155682428,,,,,,,,PPD,0,,,29MAY2022:07:14:12.230
LBU,KUL,156347648,,,,,,,,,,,,,,,,,,,,,,,,,,,155682429,,,,,,,,PPD,0,,,29MAY2022:07:14:12.247
MAN,DOH,156347649,,,,,,,,,,,,,,,,,,,,,,,,,,,155682430,,,,,,,,PPD,0,,,29MAY2022:07:14:12.280
DOH,KUL,156347650,,,,,,,,,,,,,,,,,,,,,,,,,,,155682431,,,,,,,,PPD,0,,,29MAY2022:07:14:12.293
KUL,LBU,156347651,,,,,,,,,,,,,,,,,,,,,,,,,,,155682432,,,,,,,,PPD,0,,,29MAY2022:07:14:12.310
MAN,DOH,156347652,,,,,,,,,,,,,,,,,,,,,,,,,,,155682433,,,,,,,,PPD,0,,,29MAY2022:07:14:12.340
DOH,KUL,156347653,,,,,,,,,,,,,,,,,,,,,,,,,,,155682434,,,,,,,,PPD,0,,,29MAY2022:07:14:12.373
KUL,LBU,156347654,,,,,,,,,,,4,,KUL-047,,,,,,,,,,,,,,155682435,,,,,,,,PPD,0,,,29MAY2022:07:14:12.403
LBU,KUL,156347655,,M,,,,,,,,,,,,,3,,M,1,,,,,,,NOSHOW BY ONLOAD PROCESS,,155682436,,,,,,,,PPD,0,,,29MAY2022:07:14:12.450
KUL,DOH,156347656,,,,,,,,,,,,,,,,,,,,,,,,,,,155682437,,,,,,,,PPD,0,,,29MAY2022:07:14:12.467
DOH,MAN,156347657,,,,,,,,,,,,,,,,,,,,,,,,,,,155682438,,,,,,,,PPD,0,,,29MAY2022:07:14:12.497
LBU,KUL,156347658,,M,,,,,,,,,4,,LBU-094,,,,,,,,,,,,,,155682439,,,,,,,,PPD,0,,,29MAY2022:07:14:12.543
KUL,TWU,156347659,,,,,,,,,,,4,,KUL-013,,,,,,,,,,,,,,155682440,,,,,,,,PPD,0,,,29MAY2022:07:14:12.577
TWU,BKI,156347660,,,,,,,,,,,4,,TWU-065,,3,,M,1,,,,,,,NOSHOW,,155682441,,,,,,,,PPD,0,,,29MAY2022:07:14:12.620
TWU,BKI,156347661,,,,,,,,,,,,,,,,,,,,,,,,,,,155682442,,,,,,,,PPD,0,,,29MAY2022:07:14:12.650
BKI,LDU,156347662,,,,,,,,,,,,,,,,,,,,,,,,,,,155682443,,,,,,,,PPD,0,,,29MAY2022:07:14:12.667
LDU,BKI,156347663,,,,,,,,,,,,,,,,,,,,,,,,,,,155682444,,,,,,,,PPD,0,,,29MAY2022:07:14:12.730
LDU,SDK,156347664,,,,,,,,,,,,,,,,,,,,,,,,,,,155682445,,,,,,,,PPD,0,,,29MAY2022:07:14:12.870
TWU,SDK,156347665,,,,,,,,,,,4,,TWU-041,,,,,,,,,,,,,,155682446,,,,,,,,PPD,0,,,29MAY2022:07:14:12.917
SDK,BKI,156347666,,,,,,,,,,,,,,,,,,,,,,,,,,,155682447,,,,,,,,PPD,0,,,29MAY2022:07:14:12.950
SDK,LDU,156347667,,,,,,,,,,,4,,SDK-032,,,,,,,,,,,,,,155682448,,,,,,,,PPD,0,,,29MAY2022:07:14:12.980
LDU,BKI,156347668,,1,,,,,,,,,4,,LDU-048,,,,,,,,,,,,,,155682449,,,,,,,,PPD,0,,,29MAY2022:07:14:12.997
BKI,LBU,156347669,1,,,,,,,,,,4,,BKI-015,,,,,,,,,,,,,,155682450,,,,,,,,PPD,0,,,29MAY2022:07:14:13.027
BKI,LBU,156347670,1,,,,,,,,,,,,,,,,,,,,,,,,,,155682451,,,,,,,,PPD,0,,,29MAY2022:07:14:13.057
LBU,KUL,156347671,,M,,,,,,,,,4,,LBU-056,,,,,,,,,,,,,,155682452,,,,,,,,PPD,0,,,29MAY2022:07:14:13.090
LBU,KUL,156347672,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682453,,,,,,,,PPD,0,,,29MAY2022:07:14:13.120
KUL,LBU,156347673,M,,,,,,,,,,4,,KUL-077,,,,,,,,,,,,,,155682454,,,,,,,,PPD,0,,,29MAY2022:07:14:13.150
LBU,KUL,156347674,,M,,,,,,,,,4,,LBU-070,,,,,,,,,,,,,,155682455,,,,,,,,PPD,0,,,29MAY2022:07:14:13.200
LBU,KUL,156347675,,M,,,,,,,,,4,,LBU-017,,,,,,,,,,,,,,155682456,,,,,,,,PPD,0,,,29MAY2022:07:14:13.243
LBU,KUL,156347676,,M,,,,,,,,,4,,LBU-018,,,,,,,,,,,,,,155682457,,,,,,,,PPD,0,,,29MAY2022:07:14:13.273
LBU,KUL,156347677,,M,,,,,,,,,4,,LBU-016,,,,,,,,,,,,,,155682458,,,,,,,,PPD,0,,,29MAY2022:07:14:13.307
LBU,KUL,156347678,,M,,,,,,,,,4,,LBU-138,,,,,,,,,,,,,,155682459,,,,,,,,PPD,0,,,29MAY2022:07:14:13.337
KUL,LBU,156347679,,,,,,,,,,,,,,,,,,,,,,,,,,,155682460,,,,,,,,PPD,0,,,29MAY2022:07:14:13.383
LBU,KUL,156347680,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682461,,,,,,,,PPD,0,,,29MAY2022:07:14:13.413
KUL,AMS,156347681,,,,,,,,,,,,,,,,,,,,,,,,,,,155682462,,,,,,,,PPD,0,,,29MAY2022:07:14:13.430
LBU,KUL,156347682,,M,,,,,,,,,4,,LBU-101,,,,,,,,,,,,,,155682463,,,,,,,,PPD,0,,,29MAY2022:07:14:13.460
AMS,CPH,156347683,,,,,,,,,,,,,,,,,,,,,,,,,,,155682464,,,,,,,,PPD,0,,,29MAY2022:07:14:13.493
AMS,CPH,156347684,,,,,,,,,,,,,,,,,,,,,,,,,,,155682465,,,,,,,,PPD,0,,,29MAY2022:07:14:13.523
KUL,LHR,156347685,M,2,,,,,,,,,4,,KUL-207,,,,,,,,,,,,,,155682466,,,,,,,,PPD,0,,,29MAY2022:07:14:13.557
AMS,CPH,156347686,,,,,,,,,,,,,,,,,,,,,,,,,,,155682467,,,,,,,,PPD,0,,,29MAY2022:07:14:13.570
AMS,CPH,156347687,,,,,,,,,,,,,,,,,,,,,,,,,,,155682468,,,,,,,,PPD,0,,,29MAY2022:07:14:13.603
LHR,CPH,156347688,,,,,,,,,,,,,,,,,,,,,,,,,,,155682469,,,,,,,,PPD,0,,,29MAY2022:07:14:13.617
LBU,KUL,156347689,,M,,,,,,,,,4,,LBU-135,,,,,,,,,,,,,,155682470,,,,,,,,PPD,0,,,29MAY2022:07:14:13.663
KUL,LBU,156347690,,,,,,,,,,,,,,,,,,,,,,,,,,,155682471,,,,,,,,PPD,0,,,29MAY2022:07:14:13.680
LBU,KUL,156347691,,M,,,,,,,,,4,,LBU-122,,3,,M,1,,,,,,,okay,,155682472,,,,,,,,PPD,0,,,29MAY2022:07:14:13.710
KUL,LBU,156347692,M,,,,,,,,,,,,,,,,,,,,,,,,,,155682473,,,,,,,,PPD,0,,,29MAY2022:07:14:13.727
KUL,LBU,156347693,,,,,,,,,,,4,,KUL-136,,,,,,,,,,,,,,155682474,,,,,,,,PPD,0,,,29MAY2022:07:14:13.773
LBU,KUL,156347694,,M,,,,,,,,,4,,LBU-125,,3,,M,1,,,,,,,okay,,155682475,,,,,,,,PPD,0,,,29MAY2022:07:14:13.820
KUL,BKI,156347695,,,,,,,,,,,4,,KUL-047,,,,,,,,,,,,,,155682476,,,,,,,,PPD,0,,,29MAY2022:07:14:13.853
LBU,KUL,156347696,,M,,,,,,,,,4,,LBU-024,,,,,,,,,,,,,,155682477,,,,,,,,PPD,0,,,29MAY2022:07:14:13.913
LBU,KUL,156347697,,M,,,,,,,,,4,,LBU-040,,,,,,,,,,,,,,155682478,,,,,,,,PPD,0,,,29MAY2022:07:14:13.960
LBU,KUL,156347698,,M,,,,,,,,,4,,LBU-041,,,,,,,,,,,,,,155682479,,,,,,,,PPD,0,,,29MAY2022:07:14:14.010
LBU,KUL,156347699,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682480,,,,,,,,PPD,0,,,29MAY2022:07:14:14.057
KUL,LHR,156347700,M,2,,,,,,,,,,,,,,,,,,,,,,,,,155682481,,,,,,,,PPD,0,,,29MAY2022:07:14:14.087
LBU,KUL,156347701,,M,,,,,,,,,4,,LBU-050,,,,,,,,,,,,,,155682482,,,,,,,,PPD,0,,,29MAY2022:07:14:14.133
KUL,LHR,156347702,M,2,,,,,,,,,4,,KUL-090,,,,,,,,,,,,,,155682483,,,,,,,,PPD,0,,,29MAY2022:07:14:14.180
LBU,KUL,156347703,,M,,,,,,,,,4,,LBU-079,,,,,,,,,,,,,,155682484,,,,,,,,PPD,0,,,29MAY2022:07:14:14.230
LBU,KUL,156347704,,M,,,,,,,,,4,,LBU-134,,,,,,,,,,,,,,155682485,,,,,,,,PPD,0,,,29MAY2022:07:14:14.277
KUL,LBU,156347705,,,,,,,,,,,,,,,,,,,,,,,,,,,155682486,,,,,,,,PPD,0,,,29MAY2022:07:14:14.307
LBU,KUL,156347706,,M,,,,,,,,,4,,LBU-098,,,,,,,,,,,,,,155682487,,,,,,,,PPD,0,,,29MAY2022:07:14:14.337
LBU,KUL,156347707,,M,,,,,,,,,4,,LBU-083,,,,,,,,,,,,,,155682488,,,,,,,,PPD,0,,,29MAY2022:07:14:14.383
KUL,LBU,156347708,,,,,,,,,,,,,,,,,,,,,,,,,,,155682489,,,,,,,,PPD,0,,,29MAY2022:07:14:14.417
LBU,KUL,156347709,,M,,,,,,,,,4,,LBU-084,,,,,,,,,,,,,,155682490,,,,,,,,PPD,0,,,29MAY2022:07:14:14.463
KUL,LBU,156347710,,,,,,,,,,,,,,,,,,,,,,,,,,,155682491,,,,,,,,PPD,0,,,29MAY2022:07:14:14.480
LBU,KUL,156347711,,M,,,,,,,,,4,,LBU-082,,,,,,,,,,,,,,155682492,,,,,,,,PPD,0,,,29MAY2022:07:14:14.510
KUL,LBU,156347712,,,,,,,,,,,,,,,,,,,,,,,,,,,155682493,,,,,,,,PPD,0,,,29MAY2022:07:14:14.527
LBU,KUL,156347713,,M,,,,,,,,,4,,LBU-085,,,,,,,,,,,,,,155682494,,,,,,,,PPD,0,,,29MAY2022:07:14:14.587
KUL,LBU,156347714,,,,,,,,,,,,,,,,,,,,,,,,,,,155682495,,,,,,,,PPD,0,,,29MAY2022:07:14:14.603
LBU,KUL,156347715,,M,,,,,,,,,4,,LBU-081,,,,,,,,,,,,,,155682496,,,,,,,,PPD,0,,,29MAY2022:07:14:14.633
KUL,LBU,156347716,,,,,,,,,,,,,,,,,,,,,,,,,,,155682497,,,,,,,,PPD,0,,,29MAY2022:07:14:14.667
LBU,KUL,156347717,,M,,,,,,,,,4,,LBU-039,,,,,,,,,,,,,,155682498,,,,,,,,PPD,0,,,29MAY2022:07:14:14.713
LBU,KUL,156347718,,M,,,,,,,,,4,,LBU-037,,,,,,,,,,,,,,155682499,,,,,,,,PPD,0,,,29MAY2022:07:14:14.760
LBU,KUL,156347719,,M,,,,,,,,,4,,LBU-038,,,,,,,,,,,,,,155682500,,,,,,,,PPD,0,,,29MAY2022:07:14:14.807
LBU,KUL,156347720,,M,,,,,,,,,4,,LBU-137,,,,,,,,,,,,,,155682501,,,,,,,,PPD,0,,,29MAY2022:07:14:14.853
LBU,KUL,156347721,,M,,,,,,,,,4,,LBU-069,,,,,,,,,,,,,,155682502,,,,,,,,PPD,0,,,29MAY2022:07:14:14.900
KUL,LBU,156347722,M,,,,,,,,,,4,,KUL-027,,,,,,,,,,,,,,155682503,,,,,,,,PPD,0,,,29MAY2022:07:14:14.930
LBU,KUL,156347723,,M,,,,,,,,,4,,LBU-045,,,,,,,,,,,,,,155682504,,,,,,,,PPD,0,,,29MAY2022:07:14:14.980
LBU,KUL,156347724,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682505,,,,,,,,PPD,0,,,29MAY2022:07:14:15.027
KUL,BKI,156347725,M,1,,,,,,,,,,,,,,,,,,,,,,,,,155682506,,,,,,,,PPD,0,,,29MAY2022:07:14:15.040
LBU,KUL,156347726,,M,,,,,,,,,4,,LBU-059,,,,,,,,,,,,,,155682507,,,,,,,,PPD,0,,,29MAY2022:07:14:15.120
KUL,LBU,156347727,,,,,,,,,,,,,,,,,,,,,,,,,,,155682508,,,,,,,,PPD,0,,,29MAY2022:07:14:15.150
LBU,KUL,156347728,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682509,,,,,,,,PPD,0,,,29MAY2022:07:14:15.180
KUL,BKI,156347729,M,1,,,,,,,,,,,,,,,,,,,,,,,,,155682510,,,,,,,,PPD,0,,,29MAY2022:07:14:15.213
LHR,KUL,156347730,,,,,,,,,,,4,,LHR-101,,,,,,,,,,,,,,155682511,,,,,,,,PPD,0,,,29MAY2022:07:14:15.260
KUL,LBU,156347731,,,,,,,,,,,4,,KUL-038,,,,,,,,,,,,,,155682512,,,,,,,,PPD,0,,,29MAY2022:07:14:15.307
LBU,KUL,156347732,,M,,,,,,,,,4,,LBU-049,,,,,,,,,,,,,,155682513,,,,,,,,PPD,0,,,29MAY2022:07:14:15.353
KUL,LHR,156347733,M,2,,,,,,,,,4,,KUL-078,,,,,,,,,,,,,,155682514,,,,,,,,PPD,0,,,29MAY2022:07:14:15.400
LBU,KUL,156347734,,M,,,,,,,,,4,,LBU-119,,3,,M,1,,,,,,,okay,,155682515,,,,,,,,PPD,0,,,29MAY2022:07:14:15.463
KUL,KBR,156347735,M,,,,,,,,,,4,,KUL-068,,3,,M,1,,,,,,,okay,,155682516,,,,,,,,PPD,0,,,29MAY2022:07:14:15.480
LBU,KUL,156347736,,M,,,,,,,,,4,,LBU-055,,3,,M,1,,,,,,,okay,,155682517,,,,,,,,PPD,0,,,29MAY2022:07:14:15.527
KUL,KBR,156347737,M,,,,,,,,,,4,,KUL-036,,3,,M,1,,,,,,,okay,,155682518,,,,,,,,PPD,0,,,29MAY2022:07:14:15.663
AOR,SZB,156347738,,,,,,,,,,,,,,,,,,,,,,,,,,,155682519,,,,,,,,PPD,0,,,29MAY2022:07:14:15.723
KUL,LBU,156347739,,,,,,,,,,,4,,KUL-080,,,,,,,,,,,,,,155682520,,,,,,,,PPD,0,,,29MAY2022:07:14:15.740
LBU,KUL,156347740,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682521,,,,,,,,PPD,0,,,29MAY2022:07:14:15.757
KUL,AOR,156347741,,,,,,,,,,,,,,,,,,,,,,,,,,,155682522,,,,,,,,PPD,0,,,29MAY2022:07:14:15.770
LBU,KUL,156347742,,M,,,,,,,,,4,,LBU-066,,,,,,,,,,,,,,155682523,,,,,,,,PPD,0,,,29MAY2022:07:14:15.787
KUL,AOR,156347743,M,,,,,,,,,,4,,KUL-025,,,,,,,,,,,,,,155682524,,,,,,,,PPD,0,,,29MAY2022:07:14:15.803
LBU,KUL,156347744,,M,,,,,,,,,4,,LBU-002,,,,,,,,,,,,,,155682525,,,,,,,,PPD,0,,,29MAY2022:07:14:15.850
KUL,LBU,156347745,M,,,,,,,,,,,,,,,,,,,,,,,,,,155682526,,,,,,,,PPD,0,,,29MAY2022:07:14:15.867
LBU,KUL,156347746,,M,,,,,,,,,4,,LBU-001,,,,,,,,,,,,,,155682527,,,,,,,,PPD,0,,,29MAY2022:07:14:15.913
KUL,LBU,156347747,M,,,,,,,,,,,,,,,,,,,,,,,,,,155682528,,,,,,,,PPD,0,,,29MAY2022:07:14:15.943
KUL,LBU,156347748,,,,,,,,,,,4,,KUL-098,,,,,,,,,,,,,,155682529,,,,,,,,PPD,0,,,29MAY2022:07:14:15.960
LBU,KUL,156347749,,M,,,,,,,,,4,,LBU-133,,,,,,,,,,,,,,155682530,,,,,,,,PPD,0,,,29MAY2022:07:14:15.990
LBU,KUL,156347750,,M,,,,,,,,,,,,,,,,,,,,,,,,,155682531,,,,,,,,PPD,0,,,29MAY2022:07:14:16.020
LBU,KUL,156347751,,M,,,,,,,,,4,,LBU-141,,,,,,,,,,,,,,155682532,,,,,,,,PPD,0,,,29MAY2022:07:14:16.053
KUL,LBU,156347752,,,,,,,,,,,,,,,,,,,,,,,,,,,155682533,,,,,,,,PPD,0,,,29MAY2022:07:14:16.083
LBU,KUL,156347753,,M,,,,,,,,,4,,LBU-047,,3,,M,1,,,,,,,OK,,155682534,,,,,,,,PPD,0,,,29MAY2022:07:14:16.130
KUL,LBU,156347754,,,,,,,,,,,,,,,,,,,,,,,,,,,155682535,,,,,,,,PPD,0,,,29MAY2022:07:14:16.163
LBU,KUL,156347755,,M,,,,,,,,,4,,LBU-077,,,,,,,,,,,,,,155682536,,,,,,,,PPD,0,,,29MAY2022:07:14:16.193
LBU,KUL,156347756,,M,,,,,,,,,,,,,3,,M,1,,,,,,,NOSHOW BY ONLOAD PROCESS,,155682537,,,,,,,,PPD,0,,,29MAY2022:07:14:16.247
LBU,KUL,156347757,,M,,,,,,,,,4,,LBU-123,,,,,,,,,,,,,,155682538,,,,,,,,PPD,0,,,29MAY2022:07:14:16.317
