CPR_CARRIERID,CPR_NUMBER,CPR_STATUS,CPR_TIERLEVEL,CPR_PRIORITYCODE,ID_CUSTFQTVINFO,ID_CUSTOMERLEVEL,CCP_SSRCODE,CPR_REFQUALIFIER,CPR_PRIMEID,CPR_COMPANYID,DWH_SNAPSHOTTIMESTAMP
MH,305394821,OK,BLUE,,8263832,54145286,FQTV,,,MH,29MAY2022:09:26:10.593
MH,334177421,OK,BLUE,,8263833,54145293,FQTV,,,MH,29MAY2022:09:26:10.860
MH,327021601,OK,BLUE,,8263834,54145297,FQTV,,,MH,29MAY2022:09:26:11.000
MH,330940595,OK,BLUE,,8263835,54145311,FQTV,,,MH,29MAY2022:09:26:11.767
MH,310620785,OK,BLUE,,8263836,54145312,FQTV,,,MH,29MAY2022:09:26:11.797
MH,68038493,OK,BLUE,,8263837,54145324,FQTV,,,MH,29MAY2022:09:26:15.737
MH,16814792,OK,GOLD,SAPH,8263838,54145335,FQTV,,,MH,29MAY2022:09:26:16.357
MH,334714435,OK,BLUE,,8263839,54145341,FQTV,,,MH,29MAY2022:09:26:16.613
MH,303654002,OK,SLVR,RUBY,8263840,54145342,FQTV,,,MH,29MAY2022:09:26:16.660
MH,324927385,OK,SLVR,RUBY,8263841,54145357,FQTV,,,MH,29MAY2022:09:26:17.333
MH,332861815,OK,BLUE,,8263842,54145360,FQTV,,,MH,29MAY2022:09:26:17.460
MH,318385631,OK,GOLD,SAPH,8263843,54145361,FQTV,,,MH,29MAY2022:09:26:17.507
MH,334310675,OK,BLUE,,8263844,54145388,FQTV,,,MH,29MAY2022:09:26:18.787
MH,12898653,OK,GOLD,SAPH,8263845,54145389,FQTV,,,MH,29MAY2022:09:26:18.833
MH,500207293,OK,BLUE,,8263846,54145392,FQTV,,,MH,29MAY2022:09:26:19.083
MH,323782351,OK,BLUE,,8263847,54145401,FQTV,,,MH,29MAY2022:09:26:19.427
MH,311863930,OK,SLVR,RUBY,8263848,54145404,FQTV,,,MH,29MAY2022:09:26:19.537
MH,331286185,OK,BLUE,,8263849,54145405,FQTV,,,MH,29MAY2022:09:26:19.567
MH,306124626,OK,BLUE,,8263850,54145407,FQTV,,,MH,29MAY2022:09:26:19.643
MH,334057102,OK,BLUE,,8263851,54145409,FQTV,,,MH,29MAY2022:09:30:58.897
MH,16501085,OK,BLUE,,8263852,54145427,FQTV,,,MH,29MAY2022:09:31:06.867
MH,334764743,OK,BLUE,,8263853,54145461,FQTV,,,MH,29MAY2022:09:31:19.210
MH,61626176,OK,SLVR,RUBY,8263854,54145463,FQTV,,,MH,29MAY2022:09:31:19.630
MH,67286026,OK,SLVR,RUBY,8263855,54145483,FQTV,,,MH,29MAY2022:09:31:27.040
MH,301947450,OK,GOLD,SAPH,8263856,54145501,FQTV,,,MH,29MAY2022:09:31:34.403
MH,331798062,OK,SLVR,RUBY,8263857,54145511,FQTV,,,MH,29MAY2022:09:31:38.610
MH,602203873,OK,GOLD,SAPH,8263858,54145538,FQTV,,,MH,29MAY2022:09:31:48.227
MH,MH014417686,,,,8263859,54145564,FQTV,,,MH,29MAY2022:09:32:02.870
MH,331861025,OK,BLUE,,8263860,54145599,FQTV,,,MH,29MAY2022:09:36:52.740
KL,8400335015,OK,PLAT,ELIP,8263861,54145604,FQTV,,,MH,29MAY2022:09:36:52.943
KL,5076783105,OK,EXPL,,8263862,54145605,FQTV,,,MH,29MAY2022:09:36:53.070
MH,332535114,OK,BLUE,,8263863,54145634,FQTV,,,MH,29MAY2022:09:36:55.020
MH,86379274,OK,SLVR,RUBY,8263864,54145640,FQTV,,,MH,29MAY2022:09:39:13.307
MH,332260692,OK,BLUE,,8263865,54145670,FQTV,,,MH,29MAY2022:09:39:18.187
MH,304768730,OK,BLUE,,8263866,54145676,FQTV,,,MH,29MAY2022:09:39:18.607
MH,325773221,OK,BLUE,,8263867,54145680,FQTV,,,MH,29MAY2022:09:39:18.733
MH,333960244,OK,BLUE,,8263868,54145696,FQTV,,,MH,29MAY2022:09:39:19.750
MH,321395922,OK,SLVR,RUBY,8263869,54145742,FQTV,,,MH,29MAY2022:09:43:36.583
MH,312012050,OK,BLUE,,8263870,54145745,FQTV,,,MH,29MAY2022:09:43:37.290
MH,309542693,OK,BLUE,,8263871,54145755,FQTV,,,MH,29MAY2022:09:43:40.527
MH,317848101,OK,PLAT,EMER,8263872,54145789,FQTV,,,MH,29MAY2022:09:43:49.890
MH,303460102,OK,BLUE,,8263873,54145804,FQTV,,,MH,29MAY2022:09:43:54.160
MH,283385233,OK,BLUE,,8263874,54145817,FQTV,,,MH,29MAY2022:09:46:34.580
